"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","39888","10928283","2.47","90","6.52","0.82","559.88","4436.27","365000","100","20230203","3930","20230320","3370"
"1332","ニッスイ","東証PR","水産・農林","198706","312430277","3.14","20","9.21","0.91","69.08","696.72","63600","100","20230523","649","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","129128","50578837","2.74","70","6.96","0.72","366.69","3534.39","255300","100","20230516","2635","20230320","2333"
"1375","雪国まいたけ","東証PR","水産・農林","39152","39910700","0.2","2","323.76","3.76","3.03","261.08","98100","100","20230307","1057","20230512","970"
"1376","カネコ種苗","東証ST","水産・農林","17906","11772626","1.91","29","14.07","0.77","108.12","1970.41","152100","100","20230404","1709","20230105","1400"
"1377","サカタのタネ","東証PR","水産・農林","193199","47410750","1.23","50","21.26","1.36","191.66","2991.31","407500","100","20230104","4330","20230411","3765"
"1379","ホクト","東証PR","水産・農林","61481","33359040","-","-","83.36","1.15","22.11","1609.46","184300","100","20230131","1902","20230413","1805"
"1380","秋川牧園","東証ST","水産・農林","4355","4179000","0.96","10","43.43","2.03","23.99","512.11","104200","100","20230116","1071","20230410","1040"
"1381","アクシーズ","東証ST","水産・農林","16993","5617500","3.14","95","16.99","0.88","178.07","3419.14","302500","100","20230515","3160","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1372","762000","2.78","50","10.47","1.77","171.98","1020.25","180100","100","20230314","2095","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","4869","1560500","0.32","10","74.55","3.2","41.85","974.37","312000","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","7825","8459000","2.16","20","7.07","0.73","130.75","1270.49","92500","100","20230213","972","20230104","702"
"1400","ルーデン・ホールディングス","東証GR","建設","1717","13008600","0","0","16.67","0.73","7.92","180.27","13200","100","20230221","187","20230206","98"
"1401","エムビーエス","東証GR","建設","3765","7732000","1.23","6","10.86","1.19","44.83","408.13","48700","100","20230216","509","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","129199","46027488","1.96","55","15.77","4.33","178.05","649.01","280700","100","20230113","4730","20230413","2662"
"1414","ショーボンドホールディングス","東証PR","建設","320043","56745180","2.22","125","23.55","3.15","239.54","1789.41","564000","100","20230510","5920","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","184436","103325329","3.64","65","9.51","0.69","187.68","2573.5","178500","100","20230523","1825","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4222","20010529","2.37","5","16.34","1","12.91","211.77","21100","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","117823","29455800","4.25","170","13.46","3.71","297.15","1079.43","400000","100","20230525","4005","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","8948","12620000","3.53","25","11.24","0.54","63.08","1308.19","70900","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","33057","34760000","3.15","30","16.32","3.86","58.28","246.18","95100","100","20230210","993","20230117","774"
"1430","ファーストコーポレーション","東証PR","建設","12321","13363540","3.8","35","7.99","1.46","115.34","629.83","92200","100","20230509","963","20230113","698"
"1431","Lib_Work","東証GR","建設","18424","23292040","0.81","6.4","113","5.49","7","144.19","79100","100","20230417","839","20230106","748"
"1433","ベステラ","東証PR","建設","8478","8990200","2.12","20","20.89","1.91","45.14","493.05","94300","100","20230127","1002","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","3335","6833400","3.28","16","5.33","0.67","91.6","732.55","48800","100","20230414","510","20230104","439"
"1435","Robot_Home","東証PR","建設","17041","91127000","1.07","2","21.01","2.05","8.9","91.11","18700","100","20230414","258","20230106","158"
"1436","フィット","東証GR","建設","3770","4284200","1.14","10","11.21","0.77","78.52","1137.93","88000","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","3775","3204600","2.12","25","13.15","1.11","89.59","1065.46","117800","100","20230511","1445","20230112","994"
"1439","安江工務店","東証ST","建設","1359","1350760","2.98","30","9.74","0.85","103.29","1183.65","100600","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3394","16237977","0.48","1","10.6","0.36","19.71","587.33","20900","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","2629","1088700","0","0","21.31","1.77","113.35","1360.8","241500","100","20230524","2698","20230130","1954"
"1446","キャンディル","東証ST","建設","6151","10734200","1.05","6","38.93","1.96","14.72","292","57300","100","20230508","585","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","9564","24152701","0","0","19.11","3.48","20.72","113.84","39600","100","20230221","436","20230106","358"
"1450","田中建設工業","東証ST","建設","10331","4349800","3.07","73","10.93","1.66","217.27","1429.41","237500","100","20230329","2780","20230515","2150"
"1451","KHC","東証ST","建設","2575","3985350","5.42","35","8.36","0.42","77.24","1549.17","64600","100","20230309","654","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8692","289747982","-","-","18.4","1.2","1.63","24.9","3000","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","20671","58892853","2.14","7.5","5.19","1.05","67.65","335.34","35100","100","20230124","464","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","64647","16704638","2.58","100","11.71","0.49","330.6","7955.03","387000","100","20230523","4070","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","37612","13064400","2.78","80","3.4","0.67","846.57","4292.78","287900","100","20230221","4105","20230522","2783"
"1605","INPEX","東証PR","鉱業","2164587","1386667167","4.1","64","6.8","0.52","229.71","2986.33","156100","100","20230525","1575","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","240821","54300076","4.51","200","7.07","0.57","627","7849.18","443500","100","20230307","5230","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","66590","28336061","1.45","34","14.54","0.73","161.6","3206.3","235000","100","20230424","2539","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","2402","8732773","0","0","-","4.39","-13.74","62.61","27500","100","20230125","376","20230516","242"
"1712","ダイセキ環境ソリューション","東証PR","建設","15767","16827120","1.07","10","17.69","1.06","52.96","884.84","93700","100","20230127","1039","20230407","793"
"1716","第一カッター興業","東証PR","建設","15156","12000000","2.3","29","9.41","0.89","134.16","1422.19","126300","100","20230512","1300","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","9505","12775900","4.3","32","12.8","1.86","58.12","399.63","74400","100","20230308","830","20230116","690"
"1718","美樹工業","東証ST","建設","4757","1153263","3.88","160","7.52","0.3","548.86","13663.78","412500","100","20230515","4230","20230117","3800"
"1719","安藤・間","東証PR","建設","188443","181021197","5.76","60","11.98","1.16","86.92","897.84","104100","100","20230523","1054","20230106","819"
"1720","東急建設","東証PR","建設","77509","106761205","4.96","36","19.08","0.8","38.05","905.99","72600","100","20230511","761","20230105","624"
"1721","コムシスホールディングス","東証PR","建設","395082","141000000","3.75","105","14.71","0.99","190.43","2824.12","280200","100","20230523","2869","20230104","2277"
"1723","日本電技","東証ST","建設","32257","8197500","4.07","160","9.85","1.01","399.48","3879.63","393500","100","20230523","3965","20230104","3090"
