"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"6150","タケダ機械","東証ST","機械","2632","1020000","2.71","70","7.65","0.51","337.16","5023.61","258000","100","20230529","2955","20230104","2322"
"6151","日東工器","東証PR","機械","41012","21803295","3.3","62","12.68","0.64","148.33","2924.67","188100","100","20230519","2147","20230110","1467"
"6155","高松機械工業","東証ST","機械","5466","11020000","2.02","10","-","0.32","-26.77","1549.48","49600","100","20230714","610","20231024","490"
"6156","エーワン精密","東証ST","機械","10139","5300000","5.23","100","48.36","1.14","39.56","1684.36","191300","100","20230620","2164","20230104","1631"
"6157","日進工具","東証PR","機械","26988","25035034","2.55","27.5","22.06","1.59","48.86","676.2","107800","100","20230906","1204","20230106","966"
"6158","和井田製作所","東証ST","機械","7098","7028000","3.96","40","9.53","0.69","106.03","1462.11","101000","100","20230928","1104","20230105","936"
"6159","ミクロン精密","東証ST","機械","9787","7706100","0.59","7.5","13.3","0.53","95.49","2388.82","127000","100","20230719","1702","20231024","1250"
"6161","エスティック","東証ST","機械","10803","11768000","2.61","24","8.21","1.1","111.81","830.81","91800","100","20230710","1199","20230317","836"
"6164","太陽工機","東証ST","機械","8208","5956400","3.63","50","11.56","1.17","119.18","1173.91","137800","100","20230925","1420","20230104","1081"
"6165","パンチ工業","東証ST","機械","10144","24622400","4.93","20.3","100.73","0.52","4.09","785.97","41200","100","20230510","596","20230104","381"
"6166","中村超硬","東証GR","機械","4827","11020900","0","0","4.39","8.21","99.81","53.35","43800","100","20230330","690","20231024","418"
"6167","冨士ダイス","東証PR","機械","13100","20000000","3.36","22","14.6","0.65","44.87","1010.18","65500","100","20230317","1255","20230105","561"
"6171","土木管理総合試験所","東証ST","サービス","4651","14221995","3.67","12","12.16","1","26.89","328.07","32700","100","20230626","348","20230117","302"
"6173","アクアライン","東証GR","サービス","1481","2991629","0","0","9.75","55.93","50.76","8.85","49500","100","20230901","1583","20230116","407"
"6176","ブランジスタ","東証GR","サービス","11835","14575300","-","-","28.26","5.81","28.73","139.72","81200","100","20230831","1076","20230105","402"
"6177","AppBank","東証GR","サービス","1098","10760500","0","0","-","4.64","-","21.96","10200","100","20230412","216","20231017","98"
"6178","日本郵政","東証PR","サービス","4450910","3461049500","3.89","50","18.54","0.43","69.37","3000.78","128600","100","20231020","1302","20230601","978"
"6180","GMOメディア","東証GR","サービス","4891","1868839","2.79","73","18.03","2.04","145.14","1283.6","261700","100","20230614","3025","20230110","1532"
"6181","タメニー","東証GR","サービス","2758","26265100","0","0","138.16","41.83","0.76","2.51","10500","100","20230413","171","20230105","91"
"6182","メタリアル","東証GR","サービス","14451","10768460","0","0","-","10.8","-","124.24","134200","100","20230623","2279","20230117","1065"
"6183","ベルシステム24ホールディングス","東証PR","サービス","112253","73753310","3.94","60","12.72","1.69","119.65","898.26","152200","100","20230920","1653","20230106","1327"
"6184","鎌倉新書","東証PR","サービス","23230","39041200","-","-","38.74","6.98","15.36","85.27","59500","100","20230308","1197","20231016","550"
"6185","SMN","東証ST","サービス","5559","14706548","0","0","121.94","1.21","3.1","312.26","37800","100","20230131","500","20231024","366"
"6186","一蔵","東証ST","サービス","3144","5516335","4.91","28","4.94","0.87","115.35","658.74","57000","100","20230410","641","20230116","424"
"6188","富士ソフトサービスビューロ","東証ST","サービス","5535","13500000","1.95","8","10.82","1.57","37.9","261.52","41000","100","20230627","474","20230316","378"
"6189","グローバルキッズCOMPANY","東証ST","サービス","5865","9429141","4.82","30","-","0.73","-15.94","849.12","62200","100","20230203","856","20230104","568"
"6190","フェニックスバイオ","東証GR","サービス","1948","3753915","0","0","8.03","1.19","64.65","434.91","51900","100","20230208","810","20231024","511"
"6191","エアトリ","東証PR","サービス","40430","22373865","-","-","20.05","3.58","90.14","504.4","180700","100","20230623","3040","20231023","1656"
"6192","ハイアス・アンド・カンパニー","東証GR","サービス","3338","37507080","0","0","-","1.33","-","67.09","8900","100","20230322","143","20231017","73"
"6193","バーチャレクス・ホールディングス","東証GR","サービス","2804","2989753","1.6","15","6.25","1.7","150.08","551.11","93800","100","20230327","1860","20231024","897"
"6194","アトラエ","東証PR","サービス","27345","27021200","0","0","52.82","4.93","19.16","205.22","101200","100","20230202","1311","20230627","700"
"6195","ホープ","東証GR","サービス","4492","16454200","-","-","28.03","5.56","9.74","49.06","27300","100","20230104","427","20230526","243"
"6196","ストライク","東証PR","サービス","61933","19354200","1.5","48","17.02","4.87","188","657.5","320000","100","20230130","4940","20230802","2814"
"6197","ソラスト","東証PR","サービス","53706","94719592","3.53","20","9.42","2.24","60.22","253.65","56700","100","20230104","723","20231023","548"
"6198","キャリア","東証GR","サービス","3062","8624320","0","0","11.18","1.72","31.74","206.33","35500","100","20230814","399","20230105","278"
"6199","セラク","東証ST","サービス","16730","13988400","1.09","13","11.15","2.44","107.23","490.98","119600","100","20230412","1794","20230106","1087"
"6200","インソース","東証PR","サービス","72457","85243000","1.47","12.5","27.53","10","30.88","85","85000","100","20230125","1653","20231024","815"
"6201","豊田自動織機","東証PR","輸送用機器","3559809","325840640","1.83","200","17.39","0.75","628.06","14527.28","1092500","100","20230920","12805","20230328","6540"
"6203","豊和工業","東証ST","機械","9449","12548134","2.66","20","43.2","0.51","17.43","1463.03","75300","100","20230224","1041","20231024","735"
"6208","石川製作所","東証ST","機械","7465","6385972","0","0","57.36","1.66","20.38","705.3","116900","100","20230104","1564","20231024","1135"
"6209","リケンNPR","東証PR","機械","47381","28069394","-","-","-","-","-","-","168800","100","20231002","1924","20231005","1521"
"6210","東洋機械金属","東証ST","機械","13767","20703000","5.26","35","105.06","0.71","6.33","940.35","66500","100","20230920","741","20230105","544"
"6217","津田駒工業","東証ST","機械","2696","6807555","0","0","-","1.71","-180.02","231.53","39600","100","20230111","609","20230818","390"
"6218","エンシュウ","東証ST","機械","4708","6353454","2.43","18","9.34","0.41","79.31","1790.11","74100","100","20230726","865","20230320","641"
"6222","島精機製作所","東証PR","機械","57638","35800000","-","-","46.3","0.62","34.77","2588.48","161000","100","20230731","2017","20231024","1573"
"6223","西部技研","東証ST","機械","53300","20500000","-","-","13.08","2.61","198.78","995.02","260000","100","20231006","3230","20231019","2520"
"6224","JRC","東証GR","機械","8694","12672860","3.06","21","9.52","2.35","72.07","292.42","68600","100","20230809","1056","20231018","599"
"6226","守谷輸送機工業","東証ST","機械","19763","17489000","1.42","16","14.9","2.52","75.85","447.94","113000","100","20230907","1472","20230104","711"
