"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","40380","10928283","2.44","90","6.6","0.82","559.88","4525.41","369500","100","20230203","3930","20230320","3370"
"1332","ニッスイ","東証PR","水産・農林","239009","312430277","2.61","20","11.07","1.06","69.08","720.51","76500","100","20230807","769.2","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","127636","50578837","2.77","70","6.88","0.71","366.69","3534.39","252350","100","20230516","2635","20230320","2333"
"1375","雪国まいたけ","東証PR","水産・農林","36279","39910700","0.22","2","300","3.48","3.03","261.08","90900","100","20230307","1057","20230807","907"
"1376","カネコ種苗","東証ST","水産・農林","16694","11772626","2.19","31","11.2","0.69","126.64","2053.62","141800","100","20230404","1709","20230711","1391"
"1377","サカタのタネ","東証PR","水産・農林","189169","47410750","1.38","55","22.12","1.29","180.39","3104.4","399000","100","20230104","4330","20230411","3765"
"1379","ホクト","東証PR","水産・農林","61881","33359040","-","-","83.9","1.15","22.11","1609.46","185500","100","20230131","1902","20230413","1805"
"1380","秋川牧園","東証ST","水産・農林","4384","4179000","0.95","10","43.73","2.05","23.99","512.11","104900","100","20230116","1071","20230619","1034"
"1381","アクシーズ","東証ST","水産・農林","16746","5617500","3.19","95","16.74","0.87","178.07","3419.14","298100","100","20230627","3270","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1381","762000","2.76","50","10.54","1.78","171.98","1020.25","181200","100","20230314","2095","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","5162","1610500","0.31","10","79.27","2.67","40.43","1201.41","320500","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","7486","8459000","2.26","20","6.77","0.7","130.75","1270.49","88500","100","20230213","972","20230104","702"
"1400","ルーデン・ホールディングス","東証GR","建設","1561","13008600","0","0","15.15","0.67","7.92","180.27","12000","100","20230221","187","20230206","98"
"1401","エムビーエス","東証GR","建設","3889","7732000","1.59","8","10.1","1.17","49.79","428.15","50300","100","20230721","574","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","117600","46027488","2.15","55","14.35","3.67","178.05","696.22","255500","100","20230113","4730","20230630","2391"
"1414","ショーボンドホールディングス","東証PR","建設","329065","56745180","2.16","125","24.21","3.24","239.54","1789.41","579900","100","20230510","5920","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","188724","103325329","3.56","65","9.73","0.71","187.68","2573.5","182650","100","20230703","1856","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4102","20010529","2.44","5","15.89","0.97","12.9","211.41","20500","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","104421","29455800","5.22","185","11.17","2.95","317.37","1203.11","354500","100","20230529","4125","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","9049","12620000","3.49","25","11.37","0.58","63.08","1231.47","71700","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","31249","34760000","3.34","30","15.43","3.65","58.28","246.18","89900","100","20230210","993","20230117","774"
"1430","ファーストコーポレーション","東証PR","建設","9809","13363540","4.22","31","7.11","1.1","103.21","664.54","73400","100","20230509","963","20230718","690"
"1431","Lib_Work","東証GR","建設","18540","23292040","0.8","6.4","113.71","5.52","7","144.19","79600","100","20230417","839","20230106","748"
"1433","ベステラ","東証PR","建設","9548","8990200","1.88","20","23.53","2.49","45.14","426.47","106200","100","20230613","1341","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","4852","6842800","4.23","30","3.87","0.86","183.13","827.18","70900","100","20230804","742","20230104","439"
"1435","Robot_Home","東証PR","建設","17770","91127000","1.03","2","21.91","2.14","8.9","91.11","19500","100","20230414","258","20230106","158"
"1436","フィット","東証GR","建設","3727","4284200","1.38","12","9.85","0.75","88.33","1165.72","87000","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","4410","3204600","1.82","25","15.36","1.29","89.59","1065.46","137600","100","20230511","1445","20230112","994"
"1439","安江工務店","東証ST","建設","1668","1350760","2.43","30","11.96","1.04","103.29","1183.65","123500","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3556","16237977","0.46","1","11.11","0.37","19.71","587.33","21900","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","2586","1088700","0","0","20.97","1.72","113.25","1381.19","237500","100","20230712","2780","20230130","1954"
"1446","キャンディル","東証ST","建設","6483","10734200","0.99","6","41.03","2.07","14.72","292","60400","100","20230801","610","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","8936","24152701","0","0","17.86","3.25","20.72","113.84","37000","100","20230221","436","20230106","358"
"1450","田中建設工業","東証ST","建設","9700","4349800","3.27","73","10.26","1.6","217.27","1397.65","223000","100","20230329","2780","20230515","2150"
"1451","KHC","東証ST","建設","2736","4005350","5.12","35","8.84","0.44","77.24","1549.17","68300","100","20230801","692","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8403","289747982","-","-","17.79","1.16","1.63","24.9","2900","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","20200","58892853","2.19","7.5","5.04","0.91","68.09","376.64","34300","100","20230124","464","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","78094","16704638","2.14","100","14.14","0.59","330.6","7955.03","467500","100","20230801","5110","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","34973","13064400","2.99","80","3.16","0.62","846.57","4292.78","267700","100","20230221","4105","20230619","2475"
"1605","INPEX","東証PR","鉱業","2609014","1386667167","3.4","64","8.19","0.63","229.71","2986.33","188150","100","20230807","1893.5","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","273672","54300076","3.97","200","8.04","0.64","627","7849.18","504000","100","20230307","5230","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","72087","28336061","1.34","34","15.74","0.79","161.6","3206.3","254400","100","20230807","2580","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","2314","8732773","0","0","-","4.44","-13.74","59.69","26500","100","20230125","376","20230516","242"
"1712","ダイセキ環境ソリューション","東証PR","建設","19334","16827120","0.87","10","16.41","1.27","70.02","906.87","114900","100","20230714","1445","20230407","793"
"1716","第一カッター興業","東証PR","建設","17292","12000000","2.01","29","10.74","1.01","134.16","1422.19","144100","100","20230725","1458","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","9505","12775900","4.3","32","12.81","1.99","58.1","373.66","74400","100","20230308","830","20230116","690"
"1718","美樹工業","東証ST","建設","5022","1153263","3.67","160","7.93","0.32","548.86","13732.79","435500","100","20230731","4795","20230117","3800"
"1719","安藤・間","東証PR","建設","204735","181021197","5.31","60","13.01","1.26","86.92","897.84","113100","100","20230802","1159","20230106","819"
"1720","東急建設","東証PR","建設","80391","106761205","4.78","36","19.79","0.83","38.05","905.99","75300","100","20230802","775","20230105","624"
"1721","コムシスホールディングス","東証PR","建設","377388","133000000","3.7","105","14.9","1","190.43","2824.12","283750","100","20230802","2922","20230104","2277"
"1723","日本電技","東証ST","建設","36315","8197500","3.61","160","11.09","1.16","399.48","3812.44","443000","100","20230727","4845","20230104","3090"
