"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","38959","10928283","2.52","90","6.37","0.8","559.88","4436.27","356500","100","20230203","3930","20230320","3370"
"1332","ニッスイ","東証PR","水産・農林","194332","312430277","3.22","20","9","0.89","69.08","696.72","62200","100","20230523","649","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","123665","50578837","2.86","70","6.67","0.69","366.69","3534.39","244500","100","20230516","2635","20230320","2333"
"1375","雪国まいたけ","東証PR","水産・農林","38035","39910700","0.21","2","314.52","3.65","3.03","261.08","95300","100","20230307","1057","20230531","950"
"1376","カネコ種苗","東証ST","水産・農林","16976","11772626","2.01","29","13.34","0.73","108.12","1970.41","144200","100","20230404","1709","20230105","1400"
"1377","サカタのタネ","東証PR","水産・農林","183480","47410750","1.29","50","20.19","1.29","191.66","2991.31","387000","100","20230104","4330","20230411","3765"
"1379","ホクト","東証PR","水産・農林","61314","33359040","-","-","83.13","1.14","22.11","1609.46","183800","100","20230131","1902","20230413","1805"
"1380","秋川牧園","東証ST","水産・農林","4371","4179000","0.96","10","43.6","2.04","23.99","512.11","104600","100","20230116","1071","20230410","1040"
"1381","アクシーズ","東証ST","水産・農林","17470","5617500","3.05","95","17.47","0.91","178.07","3419.14","311000","100","20230515","3160","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1368","762000","2.79","50","10.44","1.76","171.98","1020.25","179500","100","20230314","2095","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","4736","1560500","0.33","10","72.52","3.11","41.85","974.37","303500","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","7698","8459000","2.2","20","6.96","0.72","130.75","1270.49","91000","100","20230213","972","20230104","702"
"1400","ルーデン・ホールディングス","東証GR","建設","1665","13008600","0","0","16.16","0.71","7.92","180.27","12800","100","20230221","187","20230206","98"
"1401","エムビーエス","東証GR","建設","3742","7732000","1.24","6","10.8","1.19","44.83","408.13","48400","100","20230216","509","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","127772","46027488","1.98","55","15.59","4.28","178.05","649.01","277600","100","20230113","4730","20230413","2662"
"1414","ショーボンドホールディングス","東証PR","建設","323448","56745180","2.19","125","23.8","3.19","239.54","1789.41","570000","100","20230510","5920","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","181026","103325329","3.71","65","9.34","0.68","187.68","2573.5","175200","100","20230523","1825","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4262","20010529","2.35","5","16.5","1.01","12.91","211.77","21300","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","99561","29455800","5.03","170","11.37","3.13","297.15","1079.43","338000","100","20230529","4125","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","8948","12620000","3.53","25","11.24","0.54","63.08","1308.19","70900","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","31075","34760000","3.36","30","15.34","3.63","58.28","246.18","89400","100","20230210","993","20230117","774"
"1430","ファーストコーポレーション","東証PR","建設","10624","13363540","4.4","35","7.15","1.26","111.13","629.83","79500","100","20230509","963","20230113","698"
"1431","Lib_Work","東証GR","建設","18587","23292040","0.8","6.4","114","5.53","7","144.19","79800","100","20230417","839","20230106","748"
"1433","ベステラ","東証PR","建設","8289","8990200","2.17","20","20.43","1.87","45.14","493.05","92200","100","20230127","1002","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","3383","6833400","3.23","16","5.4","0.68","91.6","732.55","49500","100","20230414","510","20230104","439"
"1435","Robot_Home","東証PR","建設","16403","91127000","1.11","2","20.22","1.98","8.9","91.11","18000","100","20230414","258","20230106","158"
"1436","フィット","東証GR","建設","3727","4284200","1.15","10","11.08","0.76","78.52","1137.93","87000","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","3717","3204600","2.16","25","12.95","1.09","89.59","1065.46","116000","100","20230511","1445","20230112","994"
"1439","安江工務店","東証ST","建設","1352","1350760","3","30","9.69","0.85","103.29","1183.65","100100","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3410","16237977","0.48","1","10.65","0.36","19.71","587.33","21000","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","2668","1088700","0","0","21.62","1.8","113.35","1360.8","245100","100","20230524","2698","20230130","1954"
"1446","キャンディル","東証ST","建設","6065","10734200","1.06","6","38.38","1.93","14.72","292","56500","100","20230508","585","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","9202","24152701","0","0","18.39","3.35","20.72","113.84","38100","100","20230221","436","20230106","358"
"1450","田中建設工業","東証ST","建設","10135","4349800","3.13","73","10.72","1.63","217.27","1429.41","233000","100","20230329","2780","20230515","2150"
"1451","KHC","東証ST","建設","2555","3985350","5.46","35","8.3","0.41","77.24","1549.17","64100","100","20230309","654","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8692","289747982","-","-","18.4","1.2","1.63","24.9","3000","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","20554","58892853","2.15","7.5","5.16","1.04","67.65","335.34","34900","100","20230124","464","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","60554","16704638","2.76","100","10.96","0.46","330.6","7955.03","362500","100","20230523","4070","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","34647","13064400","3.02","80","3.13","0.62","846.57","4292.78","265200","100","20230221","4105","20230601","2643"
"1605","INPEX","東証PR","鉱業","2060587","1386667167","4.31","64","6.47","0.5","229.71","2986.33","148600","100","20230525","1575","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","228603","54300076","4.75","200","6.71","0.54","627","7849.18","421000","100","20230307","5230","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","60639","28336061","1.59","34","13.24","0.67","161.6","3206.3","214000","100","20230424","2539","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","2323","8732773","0","0","-","4.25","-13.74","62.61","26600","100","20230125","376","20230516","242"
"1712","ダイセキ環境ソリューション","東証PR","建設","16440","16827120","1.02","10","18.45","1.1","52.96","884.84","97700","100","20230127","1039","20230407","793"
"1716","第一カッター興業","東証PR","建設","14868","12000000","2.34","29","9.24","0.87","134.16","1422.19","123900","100","20230512","1300","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","9326","12775900","4.38","32","12.56","1.83","58.12","399.63","73000","100","20230308","830","20230116","690"
"1718","美樹工業","東証ST","建設","5017","1153263","3.68","160","7.93","0.32","548.86","13663.78","435000","100","20230529","4515","20230117","3800"
"1719","安藤・間","東証PR","建設","185366","181021197","5.86","60","11.78","1.14","86.92","897.84","102400","100","20230523","1054","20230106","819"
"1720","東急建設","東証PR","建設","74626","106761205","5.15","36","18.37","0.77","38.05","905.99","69900","100","20230511","761","20230105","624"
"1721","コムシスホールディングス","東証PR","建設","362957","133000000","3.85","105","14.33","0.97","190.43","2824.12","272900","100","20230523","2869","20230104","2277"
"1723","日本電技","東証ST","建設","30577","8197500","4.29","160","9.34","0.96","399.48","3879.63","373000","100","20230523","3965","20230104","3090"
