"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"25935","20240209","2","51600","-2300","1000","-100","51.6","40200","500","1000","-100","11400","-2800","-","-"
"9282","20240209","1","1246","9","-","-","-","81","-23","-","-","1165","32","-","-"
"9284","20240209","1","4055","-207","-","-","-","919","-161","-","-","3136","-46","-","-"
"9285","20240209","1","1933","-81","-","-","-","1158","29","-","-","775","-110","-","-"
"9286","20240209","2","19095","39","17","-4","1123.24","6659","4","17","-4","12436","35","-","-"
"9287","20240209","1","13844","-172","-","-","-","8349","-182","-","-","5495","10","-","-"
"94345","20240209","1","1700","-300","-","-","-","1700","-300","-","-","-","-","-","-"
