"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","43600","-12700","9200","-131900","4.74"
"1332","1385400","-92000","140800","-1474100","9.84"
"1333","524500","-4600","42200","1100","12.43"
"1375","123900","-1500","15400","-25600","8.05"
"1376","6400","-100","-","-","-"
"1377","101200","-1100","17600","700","5.75"
"1379","37600","700","52100","-100500","0.72"
"1380","4200","-","-","-","-"
"1381","7300","-300","100","-","73"
"1382","25400","-2200","-","-","-"
"1383","14700","-4900","-","-","-"
"1384","189500","2600","2000","-36600","94.75"
"1400","301600","34400","-","-","-"
"1401","42400","300","-","-","-"
"1407","468800","-12400","88500","24600","5.3"
"1414","161500","-7400","17500","300","9.23"
"1417","91600","-6500","41100","-15200","2.23"
"1418","194700","24500","4000","3900","48.67"
"1419","179800","3800","989400","-42900","0.18"
"1420","30000","-7700","28600","-35600","1.05"
"1429","315800","-17300","46900","-7500","6.73"
"1430","227700","10900","14500","6500","15.7"
"1431","45800","-8900","196700","-8600","0.23"
"1433","166500","-19300","109500","1100","1.52"
"1434","182400","-8100","5200","2000","35.08"
"1435","2349800","141200","18100","1100","129.82"
"1436","86700","-1800","-","-","-"
"1438","42600","-800","-","-","-"
"1439","71200","3200","-","-","-"
"1443","878400","-7900","-","-","-"
"1444","39100","-10100","-","-","-"
"1446","66700","-1100","36500","-500","1.83"
"1447","2380000","-25100","-","-","-"
"1450","19900","-1700","-","-","-"
"1451","42100","4000","-","-","-"
"1491","1849600","-100","-","-","-"
"1514","13154800","-677500","13800","4300","953.25"
"1515","68100","2500","17600","-13400","3.87"
"1518","1159700","112300","361400","33400","3.21"
"1605","8996400","-622000","558100","-1600","16.12"
"1662","403300","-20100","154200","73100","2.62"
"1663","262300","-14600","16300","600","16.09"
"1711","502300","-15400","-","-","-"
"1712","193200","8100","31100","-600","6.21"
"1716","51300","-300","100","-","513"
"1717","231500","-11000","-","-","-"
"1718","68600","800","-","-","-"
"1719","172900","-7300","18300","-6700","9.45"
"1720","626000","-65200","51300","-2600","12.2"
"1721","159000","2200","84900","-36400","1.87"
"1723","21600","-8300","-","-","-"
"1724","264600","3000","-","-","-"
"1726","189900","-55200","9700","-583000","19.58"
"1730","62200","-900","-","-","-"
"1736","9600","-500","-","-","-"
"1739","355300","2000","-","-","-"
"1743","54200","-4100","-","-","-"
"1757","24743000","34500","-","-","-"
"1758","38400","1600","-","-","-"
"1762","15500","-18800","25800","-927800","0.6"
"1764","11300","200","-","-","-"
"1766","45600","4500","70700","62000","0.64"
"1768","3600","-1300","30300","100","0.12"
"1770","385400","-500","-","-","-"
"1773","9000","-45000","-","-","-"
"1775","33100","-2700","-","-","-"
"1776","195100","-10900","-","-","-"
"1780","11400","-74100","110900","-495700","0.1"
"1783","3635900","-8700","-","-","-"
"1786","1008000","-78000","87500","10100","11.52"
"1787","2500","-","-","-","-"
"1788","5900","-600","-","-","-"
"1789","141500","27200","13200","1300","10.72"
"1793","400","-800","-","-","-"
"1795","300","-200","-","-","-"
"1798","97300","66700","-","-","-"
"1799","20300","-2300","1600","1400","12.69"
"1801","131100","-39300","132300","-50600","0.99"
"1802","907600","185600","209200","-53800","4.34"
"1803","735600","-33100","872900","70600","0.84"
"1805","292900","18000","8100","-3500","36.16"
"1807","110600","58100","-","-","-"
"1808","344700","-57800","231400","-2800","1.49"
