"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","27500","-3200","2400","-300","11.46"
"1332","1361900","-143900","328300","51900","4.15"
"1333","580200","-70800","86600","-6100","6.7"
"1375","176100","200","3700","200","47.59"
"1376","33400","-400","-","-","-"
"1377","52000","-500","35500","-100","1.46"
"1379","57200","-1300","9400","1800","6.09"
"1380","6100","-1200","-","-","-"
"1381","6000","200","-","-","-"
"1382","97000","10500","900","900","107.78"
"1383","16700","-2300","-","-","-"
"1384","177700","9100","-","-","-"
"1400","118900","-45100","-","-","-"
"1401","110800","-300","-","-","-"
"1407","249500","-1200","87400","13300","2.85"
"1414","41700","-3200","27500","-300","1.52"
"1417","140900","-1200","27200","2100","5.18"
"1418","715400","-13500","69200","-32000","10.34"
"1419","131200","-68200","398900","-33900","0.33"
"1420","32300","-1400","3200","-500","10.09"
"1429","664900","23900","6900","300","96.36"
"1430","80500","-2600","4300","-59800","18.72"
"1431","58800","5400","23400","3700","2.51"
"1433","198800","-12300","117800","-1700","1.69"
"1434","255300","-13200","22900","-3500","11.15"
"1435","2202800","19200","1000","-","2202.8"
"1436","92700","-2900","-","-","-"
"1438","45200","100","-","-","-"
"1439","41300","-2700","-","-","-"
"1443","780800","10000","-","-","-"
"1444","31400","1000","-","-","-"
"1446","45000","-600","39100","700","1.15"
"1447","2070300","-64900","-","-","-"
"1450","21100","-300","-","-","-"
"1451","57300","300","-","-","-"
"1491","1448400","-20100","-","-","-"
"1514","3040300","-327500","4500","-30800","675.62"
"1515","57700","-700","11400","200","5.06"
"1518","1031100","19800","597500","-22000","1.73"
"1605","9634300","212400","849100","-147700","11.35"
"1662","392500","3300","62700","1400","6.26"
"1663","445000","-14200","7500","-4400","59.33"
"1711","720000","140400","-","-","-"
"1712","438900","-57500","19000","13100","23.1"
"1716","167700","100","2200","-100","76.23"
"1717","209500","10000","-","-","-"
"1718","35000","-1100","-","-","-"
"1719","542000","53500","97800","-5200","5.54"
"1720","377900","-10300","21500","-30700","17.58"
"1721","30000","-200","47200","-6400","0.64"
"1723","15500","-1600","-","-","-"
"1724","207400","5900","-","-","-"
"1726","343900","1400","8000","-","42.99"
"1730","219900","79600","22300","18800","9.86"
"1736","6100","-","-","-","-"
"1739","305200","-1900","-","-","-"
"1743","33200","1800","-","-","-"
"1757","5059500","-278700","-","-","-"
"1758","89400","-1000","-","-","-"
"1762","15400","-2300","1800","100","8.56"
"1764","8200","-500","-","-","-"
"1766","7400","-2200","10700","1200","0.69"
"1768","7000","-200","1600","-29400","4.38"
"1770","50300","-6100","-","-","-"
"1773","9000","-","-","-","-"
"1775","41200","-600","-","-","-"
"1776","98900","-4600","-","-","-"
"1780","31100","3100","16400","-500","1.9"
"1783","3820600","60200","-","-","-"
"1786","880700","-88100","27200","-26800","32.38"
"1787","3800","-","-","-","-"
"1788","4100","500","-","-","-"
"1789","150700","2700","8600","-200","17.52"
"1793","1700","300","-","-","-"
"1795","2500","-300","-","-","-"
"1798","95600","100","-","-","-"
"1799","84100","-1700","400","-300","210.25"
"1801","209700","35600","207300","-17800","1.01"
"1802","492300","-4400","210500","1800","2.34"
"1803","1507200","164500","285500","-31700","5.28"
"1805","771900","1800","8700","-2800","88.72"
"1807","110600","-2800","-","-","-"
"1808","341700","-42600","231200","-9300","1.48"
"1810","90600","-1300","2200","-2700","41.18"
"1811","89000","2600","1100","-200","80.91"
"1812","647400","-8200","296400","-32800","2.18"
"1813","145900","9900","11200","300","13.03"
"1814","95000","-9200","10100","-4500","9.41"
"1815","188500","16800","8200","400","22.99"
"1820","162700","3100","58700","-1100","2.77"
"1821","1302100","85300","199400","-10400","6.53"
"1822","29500","-7600","2600","-7000","11.35"
"1826","966300","-500","49600","-600","19.48"
"1827","1406400","-13100","32800","-11200","42.88"
"1828","127800","-4200","-","-","-"
"1833","180000","2100","11400","4300","15.79"
"1835","8700","-100","35000","-5200","0.25"
"1840","543700","86500","-","-","-"
"1841","38900","3200","1100","1100","35.36"
"1844","339500","-34700","-","-","-"
"1847","131500","900","400","-","328.75"
"1848","45300","-500","4400","-15200","10.3"
"1850","676500","-31600","-","-","-"
"1852","121700","1700","17800","2400","6.84"
"1853","502400","16700","-","-","-"
"1860","267100","-295100","146900","26000","1.82"
"1861","54900","-3700","14700","800","3.73"
"1866","69200","17300","200","-1200","346"
"1867","22000","3000","600","200","36.67"
"1870","57900","-2700","13800","3800","4.2"
"1871","257400","-3200","6700","-57600","38.42"
"1873","594300","35300","256200","-100","2.32"
"1878","21900","7700","29000","-3800","0.76"
"1879","482300","-8100","12400","2800","38.9"
"1882","270500","400","25400","-","10.65"
"1884","21200","-5200","8400","1900","2.52"
"1885","41700","-","2500","-100","16.68"
"1887","310000","7600","6500","1200","47.69"
"1888","35600","1200","3100","-200","11.48"
"1890","310200","19700","36300","19600","8.55"
"1893","629000","-87800","79100","-4000","7.95"
"1897","4000","300","-","-","-"
"1898","1073400","6800","40500","-3900","26.5"
"1899","52500","700","166700","78100","0.31"
"1904","42500","-5400","66100","-1300","0.64"
"1905","146600","600","-","-","-"
"1909","216300","100","-","-","-"
"1911","580000","-169300","140700","14800","4.12"
"1914","76200","500","300","-800","254"
"1921","218000","124900","10000","4100","21.8"
"1925","159300","29900","91000","-1700","1.75"
"1926","100000","7700","43300","300","2.31"
"1928","513900","-38500","186000","63400","2.76"
"1929","104300","-19000","22500","-600","4.64"
"1930","81900","-7300","7400","1200","11.07"
"1934","141000","34900","9800","6300","14.39"
"1938","138900","20700","300","-","463"
"1939","37000","600","13800","900","2.68"
"1941","55000","-1700","25400","1100","2.17"
"1942","54500","1700","54400","-7800","1"
"1944","37200","-100","89400","21500","0.42"
"1945","146200","55400","5600","3200","26.11"
"1946","6100","-3600","1800","1400","3.39"
"1948","15500","1100","-","-","-"
"1949","51200","18300","3200","1900","16"
"1950","15400","400","7800","-1000","1.97"
"1951","48100","-2800","42900","-13100","1.12"
"1952","31300","-","20200","-5500","1.55"
"1959","38200","800","41400","5000","0.92"
"1960","159700","6300","-","-100","-"
"1961","89000","-12400","22300","-400","3.99"
"1963","1195700","-38500","186400","-38500","6.41"
"1964","74600","3900","3200","-100","23.31"
"1965","29300","2000","3800","-400","7.71"
"1966","341800","-75600","21300","1000","16.05"
"1967","515800","-500","3000","300","171.93"
"1968","6700","700","1800","-","3.72"
"1969","67800","-4000","51800","4500","1.31"
"1971","121800","900","-","-","-"
"1972","109600","-1400","500","-600","219.2"
"1973","22100","-4400","32000","300","0.69"
"1975","26100","-1900","4600","600","5.67"
"1976","36800","-900","24500","-1800","1.5"
"1979","59900","-2400","35200","-","1.7"
"1980","278200","246600","1017600","1014800","0.27"
"1981","2500","-","-","-","-"
"1982","35800","700","8800","-500","4.07"
"1992","1100","-100","-","-","-"
"1994","45600","-3100","-","-","-"
"1997","21400","-100","-","-","-"
"2001","173300","-58900","17900","1000","9.68"
"2002","359800","49500","59400","12900","6.06"
"2003","45600","-400","500","-","91.2"
"2004","21300","-1200","1700","-500","12.53"
"2009","88900","8100","178100","68100","0.5"
"2053","328600","-22000","3600","-","91.28"
"2055","270800","-27600","1200","-1000","225.67"
"2060","474900","32200","1400","-200","339.21"
"2107","77400","5400","-","-","-"
"2108","14400","4800","1500","-2300","9.6"
"2109","36500","7000","9100","2000","4.01"
"2112","522500","-46700","25400","8200","20.57"
"2114","39400","-4100","76300","-800","0.52"
"2117","49300","-2200","22300","300","2.21"
"2120","2871000","62400","70000","-66500","41.01"
"2121","297600","-10800","17600","-10400","16.91"
"2122","146500","-1400","-","-","-"
"2124","84600","-1000","13400","-9000","6.31"
"2127","10191600","-677900","470200","219200","21.68"
"2130","349600","2800","178700","1400","1.96"
"2134","8629900","-524600","-","-15000","-"
"2136","81900","20300","-","-","-"
"2138","1497000","-87600","130200","4000","11.5"
"2139","52200","1300","600","-200","87"
"2146","528400","-39200","50500","-31500","10.46"
"2148","284400","8400","100","-","2844"
"2150","1128200","-206700","-","-","-"
"2152","31700","-2700","-","-","-"
"2153","248000","2000","5400","-2200","45.93"
"2154","41000","3200","29100","-2800","1.41"
"2156","104100","-1900","-","-","-"
"2157","854700","-38400","33200","11900","25.74"
"2158","2130100","-17600","17600","-","121.03"
"2160","5151300","73500","695900","-166400","7.4"
"2162","1456700","11500","41700","1000","34.93"
"2163","80100","-76900","600","-","133.5"
"2164","60600","1900","-","-","-"
"2168","263900","-52500","282200","-9800","0.94"
"2169","10500","-900","900","100","11.67"
"2170","822500","-110900","213900","-27400","3.85"
"2173","207700","52900","15400","11500","13.49"
"2175","271900","-12200","129800","-400","2.09"
"2179","7600","-100","-","-","-"
"2180","42500","-2300","2700","-","15.74"
"2181","5210800","-141100","96800","-68300","53.83"
"2183","125100","-1500","1000","1000","125.1"
"2185","100600","-5300","-","-","-"
"2186","113100","2900","-","-","-"
