"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","27100","-400","2500","100","10.84"
"1332","1269200","-92700","250600","-77700","5.06"
"1333","563400","-16800","71600","-15000","7.87"
"1375","190000","13900","1600","-2100","118.75"
"1376","32900","-500","-","-","-"
"1377","54000","2000","18100","-17400","2.98"
"1379","55100","-2100","7500","-1900","7.35"
"1380","5100","-1000","-","-","-"
"1381","6800","800","-","-","-"
"1382","91000","-6000","-","-900","-"
"1383","17600","900","-","-","-"
"1384","192200","14500","-","-","-"
"1400","102100","-16800","-","-","-"
"1401","111700","900","-","-","-"
"1407","246100","-3400","84000","-3400","2.93"
"1414","33300","-8400","31500","4000","1.06"
"1417","102400","-38500","26000","-1200","3.94"
"1418","711100","-4300","39800","-29400","17.87"
"1419","108600","-22600","394400","-4500","0.28"
"1420","35200","2900","300","-2900","117.33"
"1429","703300","38400","8300","1400","84.73"
"1430","73500","-7000","3300","-1000","22.27"
"1431","61600","2800","75800","52400","0.81"
"1433","206800","8000","114000","-3800","1.81"
"1434","243000","-12300","52200","29300","4.66"
"1435","2218300","15500","1000","-","2218.3"
"1436","91400","-1300","-","-","-"
"1438","46000","800","-","-","-"
"1439","35100","-6200","-","-","-"
"1443","770900","-9900","-","-","-"
"1444","32000","600","-","-","-"
"1446","47400","2400","38200","-900","1.24"
"1447","2176800","106500","100","100","21768"
"1450","22000","900","-","-","-"
"1451","60000","2700","-","-","-"
"1491","1065900","-382500","-","-","-"
"1514","3023800","-16500","7000","2500","431.97"
"1515","60000","2300","17700","6300","3.39"
"1518","1013500","-17600","587200","-10300","1.73"
"1605","9451400","-182900","779100","-70000","12.13"
"1662","395500","3000","45300","-17400","8.73"
"1663","416600","-28400","7000","-500","59.51"
"1711","810100","90100","-","-","-"
"1712","440800","1900","9000","-10000","48.98"
"1716","177300","9600","2300","100","77.09"
"1717","210900","1400","100","100","2109"
"1718","34400","-600","-","-","-"
"1719","537100","-4900","82800","-15000","6.49"
"1720","370400","-7500","18100","-3400","20.46"
"1721","30000","-","17800","-29400","1.69"
"1723","18500","3000","-","-","-"
"1724","220800","13400","-","-","-"
"1726","333600","-10300","300","-7700","1112"
"1730","223300","3400","-","-22300","-"
"1736","6400","300","-","-","-"
"1739","326600","21400","-","-","-"
"1743","33100","-100","-","-","-"
"1757","5181700","122200","-","-","-"
"1758","83200","-6200","-","-","-"
"1762","18100","2700","2000","200","9.05"
"1764","8600","400","-","-","-"
"1766","7100","-300","9500","-1200","0.75"
"1768","8500","1500","1000","-600","8.5"
"1770","52400","2100","-","-","-"
