"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"6864","145400","-1700","-","-","-"
"6866","19700","700","36800","1500","0.54"
"6867","210500","3800","-","-","-"
"6869","77000","-42100","53200","20400","1.45"
"6870","93100","-8000","-","-","-"
"6871","414500","-28600","66200","-7200","6.26"
"6874","47800","-","-","-","-"
"6875","112200","-23600","16500","-4900","6.8"
"6877","7300","200","47500","-5800","0.15"
"6879","1670900","-56700","12700","1000","131.57"
"6881","1207700","-20400","110700","-1900","10.91"
"6882","277000","-3100","2600","700","106.54"
"6888","353300","-2600","3000","600","117.77"
"6890","4524600","157400","115000","-28400","39.34"
"6894","30500","300","-","-","-"
"6897","209900","14100","100","100","2099"
"6898","122000","-3100","-","-200","-"
"6899","318100","2300","-","-","-"
"6901","78100","4000","600","-","130.17"
"6902","607100","-51100","157200","29500","3.86"
"6904","41300","3600","6200","-100","6.66"
"6905","59400","-1600","58200","-2900","1.02"
"6907","203400","-13300","-","-","-"
"6908","19900","2000","12100","200","1.64"
"6912","70000","-1100","-","-","-"
"6914","146500","1300","8400","100","17.44"
"6915","78200","2400","1000","900","78.2"
"6918","192100","-2200","-","-","-"
"6919","107800","4500","100","-300","1078"
"6920","3935800","-281600","908700","-20200","4.33"
"6923","29100","2600","10600","1500","2.75"
"6924","1500","-6700","200","-","7.5"
"6925","819500","6100","79200","-2000","10.35"
"6926","197000","1500","8500","-52600","23.18"
"6927","3894000","1158600","11700","6400","332.82"
"6928","220200","19700","400","200","550.5"
"6929","94500","-3900","34000","300","2.78"
"6930","92200","-300","-","-","-"
"6932","153300","1000","11000","2300","13.94"
"6937","487600","-19400","31500","1000","15.48"
"6938","365400","4300","-","-","-"
"6941","450900","25100","28100","-3000","16.05"
"6942","90200","-200","-","-","-"
"6943","40800","-200","-","-","-"
"6946","118400","-6100","-","-","-"
"6947","5200","-3900","2500","400","2.08"
"6951","1011400","-35200","58300","4000","17.35"
"6952","578500","50600","187400","-64500","3.09"
"6954","1623300","43500","506400","8300","3.21"
"6955","518100","-13000","-","-","-"
"6957","200800","-2300","7200","1100","27.89"
"6958","884600","-40800","64900","-15600","13.63"
"6960","23000","1600","6100","5200","3.77"
"6961","108500","6400","10900","-8700","9.95"
"6962","1814300","4200","164300","24600","11.04"
"6963","856800","-60300","53900","6700","15.9"
"6964","103300","300","-","-","-"
"6965","118900","-51700","50200","12500","2.37"
"6966","465600","2900","373500","25900","1.25"
"6967","949700","-182800","179300","41700","5.3"
"6969","486100","91500","-","-","-"
"6971","227900","-23500","90700","-3300","2.51"
"6973","134600","300","-","-","-"
"6976","509100","-73300","225100","21000","2.26"
"6977","39500","-100","-","-","-"
"6981","805600","-46400","334200","42800","2.41"
"6982","155700","-8900","-","-","-"
"6986","451600","200","146300","800","3.09"
"6988","125200","-10200","82600","500","1.52"
"6989","224400","-12400","3100","100","72.39"
"6993","6955800","78500","1834500","86100","3.79"
"6994","124000","-2700","1700","-","72.94"
"6995","114700","11500","76800","-","1.49"
"6996","1998400","132400","38400","6900","52.04"
"6997","530900","22000","166400","400","3.19"
"6998","31700","100","-","-","-"
"6999","1436700","2900","25300","-1600","56.79"
"7003","1331600","-12900","166500","28600","8"
"7004","1431800","3000","675600","25700","2.12"
"7011","2566000","-229300","396600","28800","6.47"
"7012","2003800","-42300","328200","8900","6.11"
"7013","2012600","-19000","132300","-16500","15.21"
"7014","5933200","450700","524900","68400","11.3"
"7018","68000","20000","-","-","-"
"7021","66500","-1400","-","-","-"
"7022","859800","-20200","25200","1100","34.12"
"7030","128400","-9300","3400","300","37.76"
"7031","299400","-17000","-","-","-"
"7033","266600","-9700","13600","-","19.6"
"7034","441100","400","-","-","-"
"7035","192600","-12100","17800","7000","10.82"
"7036","43400","600","-","-","-"
"7037","257900","-11200","-","-","-"
"7038","671100","6200","-","-","-"
"7039","119700","-300","6500","-1100","18.42"
"7040","3000","-400","-","-","-"
"7041","202600","-6700","-","-","-"
"7042","83800","5000","-","-","-"
"7043","160500","4800","-","-","-"
"7044","304200","-1400","-","-","-"
"7046","162900","-8200","-","-","-"
"7047","729100","-50800","68400","30400","10.66"
"7048","1385600","27600","212700","6500","6.51"
"7049","199200","5400","46500","10700","4.28"
"7050","163500","-97500","100","-","1635"
"7057","58300","1700","-","-","-"
"7058","24800","100","-","-","-"
"7059","181600","-5900","14100","100","12.88"
"7060","194400","-1800","6600","400","29.45"
"7061","323400","22800","36300","9000","8.91"
"7062","55900","-700","-","-","-"
"7063","316200","-19300","-","-","-"
"7064","115600","3500","-","-","-"
"7065","115900","-17900","67300","-8400","1.72"
"7066","260500","-12000","-","-400","-"
"7067","53900","-1200","-","-","-"
"7068","422200","22200","270700","-18100","1.56"
"7069","94000","-400","-","-","-"
"7071","771100","-34700","141600","14500","5.45"
"7072","147200","2600","-","-200","-"
"7073","20100","-800","-","-","-"
"7074","239500","14900","-","-","-"
"7077","34800","-400","-","-","-"
"7078","816900","23700","-","-","-"
"7079","28300","-100","-","-","-"
"7080","231100","-11300","-","-","-"
"7081","46800","-2200","-","-","-"
"7082","487000","-9000","-","-","-"
"7083","47200","-1200","-","-","-"
"7084","312200","3600","-","-","-"
"7085","275000","-291400","103900","15300","2.65"
