"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","28900","-9000","4300","-100","6.72"
"1332","1973200","-783700","323000","-31400","6.11"
"1333","634000","-38400","65200","3100","9.72"
"1375","94900","-3000","14100","-200","6.73"
"1376","8500","500","-","-","-"
"1377","84200","600","364400","214900","0.23"
"1379","35500","800","41400","-3900","0.86"
"1380","4100","-200","-","-","-"
"1381","11700","1600","100","-","117"
"1382","21100","-200","-","-","-"
"1383","5600","100","-","-","-"
"1384","199100","33200","-","-","-"
"1400","351300","-4700","-","-","-"
"1401","47500","5300","-","-","-"
"1407","485600","-2600","139100","18300","3.49"
"1414","87700","-12700","26800","1200","3.27"
"1417","67600","-46400","25500","-300","2.65"
"1418","922900","-20500","467000","-56500","1.98"
"1419","269200","-900","1638200","171300","0.16"
"1420","24400","-800","2500","-100","9.76"
"1429","321100","-1600","49700","1300","6.46"
"1430","126800","7800","33900","6000","3.74"
"1431","68000","5200","131900","-6000","0.52"
"1433","131100","-19400","113100","1500","1.16"
"1434","202600","24800","2100","-400","96.48"
"1435","2324500","-224400","3800","-12900","611.71"
"1436","107400","-3300","-","-","-"
"1438","53200","-500","-","-","-"
"1439","61400","-5000","-","-","-"
"1443","814700","4500","-","-","-"
"1444","38000","-2100","-","-","-"
"1446","81700","3600","37000","-100","2.21"
"1447","2125400","-168300","-","-","-"
"1450","23600","3300","-","-","-"
"1451","40800","400","-","-","-"
"1491","2108500","-63300","-","-","-"
"1514","11175600","-1628800","9500","-","1176.38"
"1515","161100","-26700","31900","-1400","5.05"
"1518","1272300","103400","774900","27700","1.64"
"1605","6044600","-1014300","1036500","150800","5.83"
"1662","527000","12200","79400","-48000","6.64"
"1663","237300","28000","9600","-1300","24.72"
"1711","550300","7800","-","-","-"
"1712","145400","-5700","19500","4000","7.46"
"1716","39800","-6200","4000","2700","9.95"
"1717","253100","-1300","100","100","2531"
"1718","43100","-200","-","-","-"
"1719","78800","-94100","323700","18200","0.24"
"1720","482400","-132100","66200","2600","7.29"
"1721","76100","-65400","99200","900","0.77"
"1723","17700","500","-","-","-"
"1724","208200","-33800","-","-","-"
"1726","149100","2300","500","-100","298.2"
"1730","63300","1800","-","-","-"
"1736","12300","3200","-","-","-"
"1739","187400","3200","-","-","-"
"1743","48900","-1600","-","-","-"
"1757","4985000","-19575500","-","-","-"
"1758","35100","-200","-","-200","-"
"1762","16100","-1600","7400","-300","2.18"
"1764","10500","-1100","-","-","-"
"1766","68000","-6000","10700","-200","6.36"
"1768","4700","200","30200","-300","0.16"
"1770","396200","300","-","-","-"
"1773","53000","-16000","-","-","-"
"1775","26600","-3100","-","-","-"
"1776","148400","1500","-","-","-"
"1780","18700","15100","67000","1500","0.28"
"1783","3779500","-70600","-","-","-"
"1786","1920000","889600","126100","52300","15.23"
"1787","3200","-","-","-","-"
"1788","3800","-700","-","-","-"
"1789","125600","12100","11400","-100","11.02"
"1793","900","-","-","-","-"
"1795","1400","-","-","-","-"
"1798","94400","-1700","-","-","-"
"1799","21200","-7900","400","-100","53"
"1801","85000","23500","316100","16700","0.27"
