"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","27700","-1800","2000","-800","13.85"
"1332","1571800","-24500","364100","12800","4.32"
"1333","787100","-14300","50900","-300","15.46"
"1375","235100","-500","13200","-","17.81"
"1376","33600","-5200","-","-","-"
"1377","81700","7400","17400","-300","4.7"
"1379","36100","-1600","41200","1300","0.88"
"1380","4300","-1500","-","-","-"
"1381","4400","200","-","-","-"
"1382","18800","-200","-","-","-"
"1383","6400","-700","-","-","-"
"1384","163300","10100","-","-","-"
"1400","650400","7600","-","-","-"
"1401","112500","38500","300","300","375"
"1407","564700","-34500","93400","-2100","6.05"
"1414","84300","2800","28600","-2300","2.95"
"1417","88700","4800","28400","1900","3.12"
"1418","822300","-34300","254000","-2400","3.24"
"1419","439300","-196500","392800","-134200","1.12"
"1420","24700","-800","2600","100","9.5"
"1429","323700","-1600","21300","-4400","15.2"
"1430","173300","-153200","55300","-4600","3.13"
"1431","50100","-1600","119900","-6600","0.42"
"1433","330600","-2700","169900","6700","1.95"
"1434","224600","42900","3700","2600","60.7"
"1435","2153500","-44700","3000","-","717.83"
"1436","112500","2100","-","-","-"
"1438","46600","-1200","-","-","-"
"1439","71900","-3000","-","-100","-"
"1443","909600","-9300","-","-","-"
"1444","24900","-1800","-","-","-"
"1446","105400","1200","42700","1100","2.47"
"1447","2275500","38100","-","-","-"
"1450","25400","2300","-","-","-"
"1451","39500","400","-","-","-"
"1491","1715600","3000","-","-","-"
"1514","11803100","250300","9500","-","1242.43"
"1515","151100","-800","13600","2300","11.11"
"1518","1410700","36600","757900","-113900","1.86"
"1605","4282300","-276100","2018900","317300","2.12"
"1662","428900","-15400","63000","13800","6.81"
"1663","277600","-3500","4600","400","60.35"
"1711","624300","600","-","-","-"
"1712","423300","-56600","155500","-29700","2.72"
"1716","63800","-1600","2300","-","27.74"
"1717","223900","-16800","-","-","-"
"1718","38500","500","-","-","-"
"1719","231600","-114500","484600","14300","0.48"
"1720","350800","-54000","45200","1000","7.76"
"1721","86900","-3800","109500","8400","0.79"
"1723","18800","5200","-","-","-"
"1724","204000","-300","-","-","-"
"1726","158400","-4100","10400","1900","15.23"
"1730","84600","3600","-","-","-"
"1736","14500","-1100","-","-","-"
"1739","182500","-3100","-","-","-"
"1743","37300","-300","-","-","-"
"1757","7230900","-254700","-","-","-"
"1758","26400","100","-","-","-"
"1762","23100","7200","7200","1100","3.21"
"1764","7100","200","-","-","-"
"1766","69600","-2500","4800","-1200","14.5"
"1768","6800","-100","30400","-","0.22"
"1770","398600","-11900","-","-","-"
"1773","31000","19000","-","-","-"
"1775","26100","1300","-","-","-"
"1776","130600","-3900","-","-","-"
"1780","12700","600","45400","-2200","0.28"
"1783","3639200","-247900","-","-","-"
"1786","1762300","-40000","80200","-14500","21.97"
"1787","5200","-400","-","-","-"
"1788","3900","-200","-","-","-"
"1789","107400","-1800","8700","-600","12.34"
"1793","2600","900","-","-","-"
"1795","2200","-800","-","-","-"
"1798","96600","1800","-","-","-"
"1799","69300","29100","1600","100","43.31"
"1801","102000","-27000","485400","59700","0.21"
"1802","574600","94100","471700","16500","1.22"
"1803","1224400","192500","795700","101500","1.54"
"1805","359300","-900","15200","-400","23.64"
"1807","116100","300","-","-","-"
"1808","232600","24900","330000","11700","0.7"
"1810","26100","-6600","5700","-400","4.58"
"1811","93900","900","600","-200","156.5"
"1812","726700","103000","234700","-18000","3.1"
"1813","199000","1300","9400","3500","21.17"
"1814","202800","-3100","5800","1200","34.97"
"1815","140400","1800","13200","-400","10.64"
"1820","200000","-27600","56500","6900","3.54"
"1821","2048900","-71600","293500","2100","6.98"
"1822","13400","100","19300","2800","0.69"
"1826","1294500","7000","1800","1100","719.17"
"1827","755800","40500","7400","1200","102.14"
"1828","157700","-","-","-","-"
"1833","188100","-9300","32200","2400","5.84"
"1835","48200","-6100","10900","1100","4.42"
"1840","695600","15100","-","-","-"
"1841","32300","-100","-","-","-"
"1844","282000","-126100","-","-","-"
"1847","95700","-2200","600","200","159.5"
"1848","41200","-100","2700","600","15.26"
"1850","771100","-3700","-","-","-"
"1852","123400","-6900","18700","2900","6.6"
"1853","379000","-7600","-","-","-"
"1860","436900","-14500","362600","-10900","1.2"
"1861","246800","1400","41200","300","5.99"
"1866","14000","-1200","4800","-600","2.92"
"1867","9500","1000","2200","1100","4.32"
"1870","64600","-16800","34500","8000","1.87"
"1871","523400","700","44000","-","11.9"
"1873","474900","4800","262900","2800","1.81"
"1878","46900","400","26800","1200","1.75"
"1879","381800","2200","21400","700","17.84"
"1882","104700","-4400","17900","800","5.85"
"1884","4200","-2400","8100","2000","0.52"
"1885","132600","-6800","9300","400","14.26"
"1887","420700","-31600","17900","-500","23.5"
"1888","40300","-3900","17000","-1200","2.37"
"1890","512300","-26400","16300","-100","31.43"
"1893","517500","25000","104000","200","4.98"
"1897","2500","-300","-","-","-"
"1898","1157300","-142000","113200","-1400","10.22"
"1899","88000","-5900","9400","-100","9.36"
"1904","11900","1800","1000","100","11.9"
"1905","167700","300","-","-","-"
"1909","220800","7000","-","-","-"
"1911","450400","400","248800","2800","1.81"
"1914","35400","-200","3500","2400","10.11"
"1921","106700","-8400","5400","-200","19.76"
"1925","254500","-3700","159800","2100","1.59"
"1926","69400","-37400","10600","4500","6.55"
"1928","777200","-107600","204100","-4900","3.81"
"1929","74100","-68800","31100","-300","2.38"
"1930","69700","30200","14300","3000","4.87"
"1934","127800","600","10700","3600","11.94"
