"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","28600","100","2900","-800","9.86"
"1332","1635600","-226900","312500","7800","5.23"
"1333","810000","17500","50500","3600","16.04"
"1375","199000","-17500","13300","-","14.96"
"1376","16400","700","-","-","-"
"1377","67700","-3900","19300","-1400","3.51"
"1379","33400","2900","40400","-600","0.83"
"1380","3200","-100","-","-","-"
"1381","5200","700","-","-","-"
"1382","19400","-1500","100","100","194"
"1383","7500","-300","-","-","-"
"1384","168900","-6100","-","-","-"
"1400","590300","-4400","-","-","-"
"1401","57000","1900","-","-","-"
"1407","642800","62200","96500","-34900","6.66"
"1414","74300","-1100","32200","2700","2.31"
"1417","78400","-30300","25700","600","3.05"
"1418","858300","-14800","296600","-14000","2.89"
"1419","699900","-36700","757100","5200","0.92"
"1420","21400","500","2500","-","8.56"
"1429","354300","-22700","32900","-2300","10.77"
"1430","181600","-19400","60000","-900","3.03"
"1431","59300","8300","142200","-16100","0.42"
"1433","365800","-30600","171000","-23000","2.14"
"1434","179000","-8400","2300","-100","77.83"
"1435","2237500","62800","3000","-","745.83"
"1436","110100","2700","-","-","-"
"1438","48200","-2300","100","100","482"
"1439","74000","500","-","-","-"
"1443","881400","5500","-","-","-"
"1444","32200","-2600","-","-","-"
"1446","87700","-1300","41000","700","2.14"
"1447","2110200","-6100","-","-","-"
"1450","22900","-500","-","-","-"
"1451","39100","100","-","-","-"
"1491","1800800","49400","-","-","-"
"1514","11111000","49200","9500","-","1169.58"
"1515","156800","-3200","14300","2300","10.97"
"1518","1480600","-32400","937200","-60400","1.58"
"1605","5353500","-53300","1330700","-142500","4.02"
"1662","481600","4000","62500","3200","7.71"
"1663","251500","11100","8200","-2100","30.67"
"1711","641600","17000","-","-","-"
"1712","226100","48100","36300","13000","6.23"
"1716","65600","-14800","6200","2800","10.58"
"1717","245600","9000","-","-100","-"
"1718","38300","-100","-","-","-"
"1719","265700","-1500","481800","15900","0.55"
"1720","425800","-26400","49900","-2200","8.53"
"1721","90000","10300","113100","-14100","0.8"
"1723","14600","-1100","-","-","-"
"1724","201300","-1500","-","-","-"
"1726","143700","-7200","4000","2200","35.92"
"1730","86900","-300","-","-","-"
"1736","12800","-2100","-","-","-"
"1739","175900","-8100","-","-","-"
"1743","43600","-3900","-","-","-"
"1757","7071500","495400","-","-","-"
"1758","28500","-9300","-","-","-"
"1762","16900","-200","8300","2200","2.04"
"1764","6100","700","-","-","-"
"1766","73800","-3400","7400","1100","9.97"
"1768","8600","-1100","30300","-","0.28"
"1770","404300","-100","-","-","-"
"1773","30000","-35000","-","-","-"
"1775","24100","-800","-","-","-"
"1776","138900","6100","-","-","-"
"1780","8200","-8400","55000","-2700","0.15"
"1783","3845000","41900","-","-","-"
"1786","1768500","-119600","107100","-1800","16.51"
"1787","2700","-100","-","-","-"
"1788","3800","1400","-","-","-"
"1789","111200","600","10800","300","10.3"
"1793","1200","-500","-","-","-"
"1795","2100","400","-","-","-"
"1798","93300","-","-","-","-"
"1799","44100","-1100","1000","200","44.1"
"1801","131300","-66800","409100","-10700","0.32"
"1802","493200","-165000","525600","20100","0.94"
"1803","857800","-158600","763000","141800","1.12"
"1805","304400","-200","14700","2800","20.71"
"1807","115900","2700","-","-","-"
"1808","180900","-21400","321000","-14400","0.56"
"1810","42800","-1800","4400","-100","9.73"
"1811","88800","-1500","1200","-500","74"
"1812","680900","-105900","267100","13600","2.55"
"1813","194000","-2300","5200","400","37.31"
"1814","273900","-21500","13100","9000","20.91"
"1815","131700","4700","15800","-1200","8.34"
"1820","239100","-7800","49800","-1900","4.8"
"1821","2141900","-106700","280700","-6600","7.63"
"1822","17600","6700","16800","-300","1.05"
"1826","1306400","-24300","1000","-500","1306.4"
"1827","671300","-79000","6400","-100","104.89"
"1828","150800","100","-","-","-"
"1833","200300","-1200","30300","400","6.61"
"1835","56700","-9400","4000","-600","14.18"
"1840","603300","-57700","-","-","-"
"1841","34500","400","-","-","-"
"1844","377400","32200","-","-","-"
"1847","127600","-100","400","-","319"
"1848","32500","-1700","600","300","54.17"
"1850","773500","-10500","-","-","-"
"1852","151300","-28600","16900","-7500","8.95"
"1853","367600","-27900","-","-","-"
"1860","153300","36000","390400","-6100","0.39"
"1861","248800","-1600","41700","1700","5.97"
"1866","10800","-1100","4500","100","2.4"
"1867","9500","-1500","2300","1200","4.13"
"1870","78600","-9800","26000","1100","3.02"
"1871","439700","-16900","73500","1900","5.98"
"1873","396800","-7100","252400","-","1.57"
"1878","26600","-2200","30100","200","0.88"
"1879","389900","49300","25600","-200","15.23"
"1882","111000","300","20500","-800","5.41"
"1884","2800","-4000","9500","100","0.29"
"1885","158100","3700","10000","-300","15.81"
"1887","469800","12200","18600","-3400","25.26"
"1888","52500","-200","19000","-1400","2.76"
"1890","925500","-409400","16300","-","56.78"
"1893","463600","-11700","89200","-800","5.2"
"1897","2200","-200","-","-","-"
"1898","2556100","24900","129300","13600","19.77"
"1899","94500","-2800","11600","1900","8.15"
"1904","14600","7300","900","-","16.22"
"1905","164000","1600","-","-","-"
"1909","192700","100","-","-","-"
"1911","482500","-70700","303700","-96200","1.59"
"1914","28700","2300","700","100","41"
"1921","124900","-14000","5500","-400","22.71"
"1925","219100","-31600","188800","-300","1.16"
"1926","91700","-1600","6500","400","14.11"
"1928","635200","-65300","249400","5400","2.55"
"1929","89100","3800","31200","600","2.86"
"1930","42700","4500","12200","-4000","3.5"
"1934","125200","-4500","5000","-1100","25.04"
"1938","69900","6300","300","-","233"
"1939","39600","600","5800","1600","6.83"
"1941","38800","1000","24100","500","1.61"
"1942","195300","58600","155500","300","1.26"
"1944","11900","-10200","95300","1400","0.12"
"1945","65600","-4700","13800","-2300","4.75"
"1946","16100","100","400","-600","40.25"
"1948","16300","3400","-","-","-"
"1949","16600","-100","3000","-600","5.53"
"1950","8200","-700","35700","2200","0.23"
"1951","71400","10800","46900","2400","1.52"
"1952","8800","-8600","23700","200","0.37"
"1959","31300","6200","42300","-100","0.74"
"1960","437300","5200","-","-","-"
"1961","92300","16400","20500","-900","4.5"
"1963","672800","-79800","218500","-2500","3.08"
"1964","64600","7200","4900","1200","13.18"
"1965","22800","-1300","2600","-100","8.77"
"1966","508500","-23100","55500","-300","9.16"
"1967","567700","-4400","95000","3400","5.98"
"1968","11500","3200","6400","-500","1.8"
"1969","44600","4700","44300","400","1.01"
"1971","81500","3100","-","-","-"
"1972","160900","-4900","6400","400","25.14"
"1973","27500","3800","53000","15000","0.52"
"1975","12800","1500","900","-200","14.22"
"1976","245400","26900","43600","2400","5.63"
"1979","5100","-400","30400","-2600","0.17"
"1980","24400","800","2400","-1000","10.17"
"1981","800","600","-","-","-"
"1982","26400","-1000","11600","400","2.28"
"1992","2400","100","-","-","-"
"1994","136000","-21100","-","-","-"
"1997","21100","-100","-","-","-"
"2001","13300","-1800","17200","-300","0.77"
"2002","94700","30300","81000","-12100","1.17"
"2003","41800","-500","100","-","418"
"2004","18800","-100","9300","-900","2.02"
"2009","146600","-12200","-","-","-"
"2053","308800","300","4500","-1300","68.62"
"2055","254600","-1600","-","-100","-"
"2060","411900","16200","4600","-200","89.54"
"2107","136500","10500","400","400","341.25"
"2108","19900","7600","2600","800","7.65"
"2109","18500","2800","14100","400","1.31"
"2112","331000","600","2500","-3800","132.4"
"2114","65700","8500","88700","-1700","0.74"
"2117","64400","400","23200","1500","2.78"
"2120","1575700","-107100","266600","18200","5.91"
"2121","220200","18300","77200","3800","2.85"
"2122","231400","-1500","-","-","-"
"2124","47000","-11300","49300","8200","0.95"
"2127","5571000","-170200","254900","-40400","21.86"
"2130","359900","-20200","54400","3700","6.62"
"2134","10662600","741900","-","-75600","-"
"2136","136900","-54200","-","-","-"
"2138","1969700","102400","-","-","-"
"2139","58100","-2100","700","-","83"
"2146","535700","109700","69500","-1000","7.71"
"2148","225700","-5900","-","-","-"
"2150","1734000","15800","-","-100","-"
"2152","53300","-800","-","-","-"
"2153","197200","5100","400","-","493"
"2154","47500","2400","43400","-300","1.09"
"2156","131000","4200","-","-","-"
"2157","520000","33800","495600","182700","1.05"
"2158","3179800","-11900","-","-400","-"
"2160","5102000","-12300","166800","-27100","30.59"
"2162","1527100","63300","205000","-27900","7.45"
"2163","129300","-2700","100","-","1293"
"2164","102200","19500","-","-","-"
"2168","203200","31700","46700","9600","4.35"
"2169","11500","3000","300","-100","38.33"
"2170","2509600","164300","119200","-39100","21.05"
"2173","115800","-1900","1400","-2400","82.71"
"2175","349600","51200","147200","-6200","2.38"
"2179","6400","900","-","-","-"
"2180","66900","7800","2700","-","24.78"
"2181","104200","9100","43600","2000","2.39"
"2183","73000","-1300","-","-","-"
"2185","125400","-2700","-","-","-"
"2186","184700","-9100","-","-","-"
"2193","915400","51200","56900","14700","16.09"
"2195","325500","-12400","100","-","3255"
"2196","838100","-19100","47100","-14300","17.79"
"2198","175300","8300","12300","-3600","14.25"
"2201","45400","14700","25700","-1600","1.77"
"2204","5100","-1900","1600","-","3.19"
"2206","47100","-2300","125800","-520700","0.37"
"2207","10400","-5200","4900","-2900","2.12"
"2208","9700","600","-","-","-"
"2209","10800","-100","300","-","36"
"2211","51100","4000","9100","-1700","5.62"
"2212","95500","18900","415200","-43400","0.23"
"2215","107900","-3500","1600","-","67.44"
"2216","189300","-11500","120600","-7300","1.57"
"2217","10600","-5500","130500","11900","0.08"
"2220","15800","-3500","12100","-4000","1.31"
"2221","2500","500","-","-","-"
"2222","85300","27400","150900","-11700","0.57"
"2224","4800","1300","-","-","-"
"2226","2500","200","2000","400","1.25"
"2229","178100","15300","91700","-5900","1.94"
"2264","116200","39400","11000","-1700","10.56"
"2266","13900","-2600","9300","1000","1.49"
"2267","554500","40500","97100","-5000","5.71"
"2268","4900","-300","-","-","-"
"2269","243100","-1100","104800","-4900","2.32"
"2270","87700","-7600","41100","-","2.13"
"2281","388800","25800","24400","5900","15.93"
"2282","392400","16000","36500","-1000","10.75"
"2286","283900","-3900","700","-100","405.57"
"2288","30200","2600","8900","-600","3.39"
"2291","10600","900","4500","-","2.36"
"2292","19100","2200","20500","-200","0.93"
"2293","400","100","-","-","-"
"2294","27700","-4200","18500","-1700","1.5"
"2296","66500","-1400","50800","-","1.31"
"2300","1600","100","-","-","-"
"2301","61300","-13700","41400","-600","1.48"
"2303","111500","2800","-","-","-"
"2304","306200","-19400","168500","-15100","1.82"
"2305","30500","-11200","337100","48200","0.09"
"2307","323000","20100","10800","600","29.91"
"2309","110700","42700","21200","-700","5.22"
"2311","84100","600","-","-5100","-"
"2315","11796900","838300","2158900","-471700","5.46"
"2317","3470200","338400","77600","3900","44.72"
"2321","1634500","25700","-","-","-"
"2323","88100","2100","-","-","-"
"2325","4900","-10800","22100","-210000","0.22"
"2326","121500","31900","7400","-7200","16.42"
"2327","16700","4900","61800","2600","0.27"
"2329","40700","400","-","-","-"
"2330","2966500","40200","-","-","-"
"2331","445300","350000","102200","79800","4.36"
"2332","92200","-9500","800","-","115.25"
"2334","465800","51700","-","-2000","-"
"2335","22600","-3900","6600","200","3.42"
"2337","1997900","41900","308900","-5000","6.47"
"2338","24800","-14100","-","-","-"
"2340","92500","3700","-","-","-"
"2341","1425100","12400","-","-","-"
"2342","679900","-12000","-","-","-"
"2344","99800","5100","-","-","-"
"2345","2559500","-6300","-","-","-"
"2349","11900","-7300","-","-","-"
"2351","215700","2100","-","-","-"
"2353","9615800","634200","264400","55700","36.37"
"2354","733800","277900","-","-","-"
"2359","35200","-4200","6100","200","5.77"
"2370","26354300","746000","-","-","-"
"2371","405100","14700","122000","-22500","3.32"
"2372","905300","-4300","6900","-1100","131.2"
"2373","41900","5100","-","-","-"
"2374","107300","-2200","1200","200","89.42"
"2375","721500","28100","19300","-","37.38"
"2376","98400","8800","-","-","-"
