"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","29500","3400","3500","1300","8.43"
"1332","1555100","-26600","376100","19800","4.13"
"1333","748600","-23700","50100","-2700","14.94"
"1375","238300","5500","13200","-","18.05"
"1376","29800","6200","-","-","-"
"1377","66800","-12700","27800","2400","2.4"
"1379","33200","-2900","37500","-1100","0.89"
"1380","3100","-600","-","-","-"
"1381","3700","200","-","-","-"
"1382","18800","-","-","-","-"
"1383","7600","100","-","-","-"
"1384","171000","3300","-","-","-"
"1400","620700","7600","-","-","-"
"1401","94200","-3900","-","-","-"
"1407","560000","19900","62500","-43000","8.96"
"1414","78900","3100","25600","-3200","3.08"
"1417","94900","4800","39500","8500","2.4"
"1418","783700","-18000","247400","-3800","3.17"
"1419","371100","-48700","262100","-50400","1.42"
"1420","27600","4500","4000","-200","6.9"
"1429","380100","45700","15900","-1800","23.91"
"1430","179000","7800","51700","-3700","3.46"
"1431","47300","-5800","118300","-1700","0.4"
"1433","261400","-8400","131400","-12000","1.99"
"1434","133700","-71200","48000","19800","2.79"
"1435","2209200","37100","1000","-2000","2209.2"
"1436","109400","-3200","-","-","-"
"1438","46600","-","-","-","-"
"1439","68500","-1100","-","-","-"
"1443","736800","-76000","-","-","-"
"1444","24800","-2300","-","-","-"
"1446","110200","4600","46700","1000","2.36"
"1447","2269400","-600","-","-","-"
"1450","27900","3000","-","-","-"
"1451","39100","100","-","-","-"
"1491","1685100","-126600","-","-","-"
"1514","11894800","103900","9500","-","1252.08"
"1515","145900","100","11300","-1200","12.91"
"1518","1344000","-32600","709800","-24400","1.89"
"1605","5010100","450600","2106100","-33000","2.38"
"1662","363900","-29800","67700","2000","5.38"
"1663","273900","20900","5500","700","49.8"
"1711","618400","-7100","-","-","-"
"1712","320500","-32000","98900","-23800","3.24"
"1716","57500","-1900","2400","-200","23.96"
"1717","219700","-7500","-","-","-"
"1718","38300","-2500","-","-","-"
"1719","251900","-4100","148500","-1300","1.7"
"1720","308900","10100","49600","800","6.23"
"1721","78000","-8400","105900","-900","0.74"
"1723","17900","-","-","-","-"
"1724","197800","-2500","-","-","-"
"1726","156900","2400","17200","3000","9.12"
"1730","80600","-3300","-","-","-"
"1736","13200","200","-","-","-"
"1739","379300","199400","-","-","-"
"1743","35800","-800","-","-","-"
"1757","7039300","-169500","-","-","-"
"1758","81300","3900","-","-","-"
"1762","21300","2700","7100","-100","3"
"1764","7500","700","-","-","-"
"1766","69100","-400","4200","-700","16.45"
"1768","6500","-1200","30500","-600","0.21"
"1770","336100","-60600","-","-","-"
"1773","37000","-87000","-","-","-"
"1775","19600","-2500","-","-","-"
"1776","119400","-5900","-","-","-"
"1780","13500","600","44000","500","0.31"
"1783","3561200","-53100","-","-","-"
"1786","1670600","-28500","74100","1700","22.55"
"1787","2800","300","-","-","-"
"1788","3900","-200","-","-","-"
"1789","120200","7800","9000","200","13.36"
"1793","900","100","-","-","-"
"1795","2600","200","-","-","-"
"1798","93500","-100","-","-","-"
"1799","78600","3600","1400","400","56.14"
"1801","160500","-20800","391800","6000","0.41"
"1802","1232600","129800","446600","-16400","2.76"
"1803","1801400","294600","530400","26600","3.4"
"1805","407700","6600","12600","-100","32.36"
"1807","121200","4800","-","-","-"
"1808","254600","29800","300700","-24100","0.85"
"1810","35900","8600","4800","-700","7.48"
"1811","110300","1600","600","-1500","183.83"
"1812","895600","74400","221200","-7100","4.05"
"1813","187200","-11400","8700","-1000","21.52"
"1814","197900","-7200","19200","11600","10.31"
"1815","140600","-100","13000","-500","10.82"
"1820","186400","11600","91200","38300","2.04"
"1821","2130100","179300","317200","7600","6.72"
"1822","14100","-600","15900","-800","0.89"
"1826","1285100","300","3700","-3600","347.32"
"1827","917700","49300","6200","-5000","148.02"
"1828","151300","-1500","-","-","-"
"1833","210100","-1300","29600","-5100","7.1"
"1835","35100","-9300","11300","-","3.11"
"1840","592400","-19000","-","-","-"
"1841","33400","1800","-","-","-"
"1844","408300","43700","-","-","-"
"1847","82800","-6200","400","-","207"
"1848","39600","-400","3300","-1100","12"
"1850","734600","-16900","-","-","-"
"1852","121100","-11700","20900","1800","5.79"
"1853","404200","-5000","-","-","-"
"1860","539000","70900","351100","-14400","1.54"
"1861","246200","3700","32500","-2200","7.58"
"1866","16500","1500","4300","-1700","3.84"
"1867","9400","-300","2400","-2400","3.92"
"1870","72900","-2600","26500","-6300","2.75"
"1871","602400","3600","45300","900","13.3"
"1873","472800","-16800","261100","-","1.81"
"1878","18800","-13600","34000","1600","0.55"
"1879","362500","-17600","24200","-500","14.98"
"1882","25200","-75800","18000","-400","1.4"
"1884","6400","-1200","7200","-2100","0.89"
"1885","124200","-2000","9200","-300","13.5"
"1887","424400","17000","13600","-2700","31.21"
"1888","35500","-400","12800","-3000","2.77"
"1890","461900","-25300","16300","-","28.34"
"1893","523800","-3800","94800","-9200","5.53"
"1897","2700","300","-","-","-"
"1898","1163600","-144300","117000","1300","9.95"
"1899","88100","200","800","-9100","110.13"
"1904","9100","-200","800","-400","11.38"
"1905","129100","-38900","-","-","-"
"1909","229600","-4800","100","-","2296"
"1911","470700","-8300","210100","-15600","2.24"
"1914","43500","7300","1100","-2000","39.55"
"1921","100400","-4800","4900","-6400","20.49"
"1925","206900","-16300","137800","-29600","1.5"
