"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"9765","148700","1900","7200","500","20.65"
"9766","50600","-10700","156200","3200","0.32"
"9767","124600","-1600","-","-","-"
"9768","135800","-13300","-","-","-"
"9769","40300","300","300","100","134.33"
"9776","56100","-1200","-","-","-"
"9778","700","-600","-","-","-"
"9780","3600","300","-","-","-"
"9782","523500","100","-","-","-"
"9783","49700","-60900","500","-","99.4"
"9787","13400","-2600","155900","62200","0.09"
"9788","165900","47400","388400","90800","0.43"
"9790","18200","-1900","13900","-500","1.31"
"9791","257700","3300","-","-","-"
"9793","34600","900","18900","-200","1.83"
"9795","32700","-1100","2200","-100","14.86"
"9799","27600","400","-","-","-"
"9812","452100","81100","2600","2600","173.88"
"9816","296900","4500","-","-","-"
"9818","2500","200","-","-","-"
"9820","20300","-200","-","-","-"
"9823","53500","3000","-","-","-"
"9824","59100","-2400","10100","1300","5.85"
"9827","1112600","251800","-","-3500","-"
"9828","175700","1200","54200","7800","3.24"
"9830","35300","1300","24400","-900","1.45"
"9831","4037200","405700","293800","64800","13.74"
"9832","98600","8900","59300","20100","1.66"
"9835","21700","200","6200","2700","3.5"
"9837","56200","-11100","19300","-2600","2.91"
"9842","345700","-80800","3893300","885900","0.09"
"9843","123700","11800","108600","-24700","1.14"
"9845","182400","400","-","-","-"
"9846","10700","-600","-","-","-"
"9849","1300","200","-","-","-"
"9850","78600","19500","563000","-2200","0.14"
"9852","11400","1100","-","-","-"
"9853","23800","-2400","-","-","-"
"9854","367000","-900","10100","-500","36.34"
"9856","174500","-10400","8500","7100","20.53"
"9857","23400","500","-","-","-"
"9861","354000","138000","4286200","986900","0.08"
"9867","27400","400","-","-","-"
"9869","3000","-1300","1700","100","1.76"
"9872","50400","-1600","1900","1000","26.53"
"9873","30300","-5600","10700","200","2.83"
"9876","923100","-83100","-","-","-"
"9878","156600","-5400","-","-","-"
"9880","93400","-1000","100","-100","934"
"9882","242800","-3600","14100","1000","17.22"
"9885","824700","33200","20700","10100","39.84"
"9887","35600","500","79800","1600","0.45"
