"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","32200","400","5200","900","6.19"
"1332","922300","-1400","262700","-2000","3.51"
"1333","473700","-50900","73700","-5900","6.43"
"1375","161700","3600","2100","400","77"
"1376","48800","5100","-","-","-"
"1377","165100","44400","17900","2100","9.22"
"1379","47500","-2400","6700","-","7.09"
"1380","5200","-","-","-","-"
"1381","9800","1000","-","-","-"
"1382","78700","-10000","-","-","-"
"1383","17400","800","-","-","-"
"1384","160800","400","-","-","-"
"1401","76300","-28500","-","-","-"
"1407","225700","-68700","103000","23100","2.19"
"1414","46500","5100","41100","400","1.13"
"1417","100100","13300","22900","-100","4.37"
"1418","622400","-38000","29000","-1200","21.46"
"1419","247500","-4700","462800","-6000","0.53"
"1420","67800","25000","2000","1700","33.9"
"1429","764500","12800","14000","4000","54.61"
"1430","71300","4900","2800","100","25.46"
"1431","78800","-1900","13300","-400","5.92"
"1433","280000","-27200","403200","-11700","0.69"
"1434","186200","-59300","37700","-13200","4.94"
"1435","2170800","-50700","1000","-","2170.8"
"1436","85000","-12500","-","-","-"
"1438","45300","-100","-","-","-"
"1439","34800","3000","-","-","-"
"1443","895300","41500","-","-","-"
"1444","13900","-4900","-","-","-"
"1446","60400","-2200","37600","-","1.61"
"1447","3619400","59800","-","-2100","-"
"1450","23000","1400","-","-","-"
"1451","65100","-600","-","-","-"
"1491","1179500","156700","-","-","-"
"1514","2987800","-147800","4000","-1600","746.95"
"1515","39100","6200","5900","600","6.63"
"1518","956900","121900","572200","-200","1.67"
"1605","7919300","149000","333200","-31500","23.77"
"1662","380100","-35300","50700","9700","7.5"
"1663","397900","-10700","4100","-1600","97.05"
"1711","1602900","535400","-","-","-"
"1712","644600","19900","11600","-3600","55.57"
"1716","185200","-100","1500","300","123.47"
"1717","203600","-11600","-","-","-"
"1718","73400","35100","-","-","-"
"1719","790800","131900","111400","-3600","7.1"
"1720","414400","77800","13900","-1600","29.81"
"1721","32300","-800","68900","41500","0.47"
"1723","23800","7700","-","-","-"
"1724","240300","3000","-","-","-"
"1726","327200","-4900","300","300","1090.67"
"1730","260200","-1700","-","-","-"
"1736","8600","1100","-","-","-"
"1739","10400","-11700","-","-","-"
"1743","54600","7200","-","-","-"
"1757","4478100","-258800","-","-","-"
"1758","50600","4000","-","-","-"
"1762","15300","4800","7900","1600","1.94"
"1764","5100","100","-","-","-"
"1766","7300","500","9200","800","0.79"
"1768","13000","-100","600","-","21.67"
"1770","54500","-1000","-","-","-"
"1773","16000","-13000","-","-","-"
"1775","39300","-2000","-","-","-"
"1776","84300","1500","-","-","-"
"1780","49300","-4200","232700","33500","0.21"
"1783","3403800","-18300","-","-","-"
"1786","828600","-159900","49200","7000","16.84"
"1787","2500","-100","-","-","-"
"1788","3700","300","-","-","-"
"1789","144600","-1000","7700","100","18.78"
"1793","2400","500","-","-","-"
"1795","1700","-600","-","-","-"
"1798","96000","-1700","-","-","-"
"1799","115400","12600","2300","1000","50.17"
"1801","109000","11600","185800","-1100","0.59"
"1802","307200","-52000","263600","-34300","1.17"
"1803","807900","-226400","393300","-24100","2.05"
"1805","742900","-10100","26800","-4400","27.72"
"1807","117800","300","-","-","-"
"1808","331700","101000","238500","-44100","1.39"
"1810","106200","7500","1000","300","106.2"
"1811","109800","2200","2000","-200","54.9"
"1812","613700","23700","176700","-65200","3.47"
"1813","237200","-7800","20300","-3500","11.68"
"1814","126300","10900","11500","-2400","10.98"
"1815","196800","5100","6200","200","31.74"
"1820","147200","10900","62000","-4700","2.37"
"1821","1418800","-36700","211900","-10700","6.7"
"1822","30200","1100","2300","-500","13.13"
"1826","1039900","67800","40400","-3600","25.74"
"1827","1323700","6400","18800","-17600","70.41"
"1828","125100","-900","-","-","-"
"1833","180000","35900","31400","-1200","5.73"
"1835","11800","-600","42100","-100","0.28"
"1840","544300","9300","-","-","-"
"1841","18500","-100","-","-","-"
"1844","309000","-17300","-","-","-"
"1847","139000","2500","400","-","347.5"
"1848","38600","100","1200","-","32.17"
"1850","738000","-1000","-","-","-"
"1852","135800","-20800","43800","1100","3.1"
"1853","581500","-14700","-","-","-"
"1860","50400","4700","307100","197000","0.16"
"1861","63400","11700","10200","-700","6.22"
"1866","105000","13300","100","100","1050"
"1867","63700","4500","4900","-3700","13"
"1870","39200","2200","11400","-","3.44"
"1871","219600","-10700","15800","6300","13.9"
"1873","521000","-19100","252000","600","2.07"
"1878","25700","10800","26600","-1400","0.97"
"1879","554400","-7200","12900","3200","42.98"
"1882","358600","500","14400","100","24.9"
"1884","83900","28000","9800","-700","8.56"
"1885","33500","-1100","3000","-100","11.17"
"1887","485000","41500","68800","-5400","7.05"
"1888","39700","1500","300","-100","132.33"
"1890","549100","-25900","55600","200","9.88"
"1893","974400","173300","48800","-6600","19.97"
"1897","4400","500","-","-","-"
"1898","788800","-40600","63000","800","12.52"
"1899","56200","600","18100","-500","3.1"
"1904","31200","-5500","58300","-100","0.54"
"1905","147800","-17300","-","-","-"
"1909","238100","10300","-","-","-"
"1911","746900","283400","111000","-23500","6.73"
"1914","201000","65500","12000","7400","16.75"
"1921","213000","32300","5400","-","39.44"
"1925","212300","-6900","115200","-4700","1.84"
"1926","74500","3300","38600","22200","1.93"
"1928","929600","116400","2776100","2295500","0.33"
"1929","93500","-40600","52700","2000","1.77"
"1930","194600","-36500","137500","-80600","1.42"
"1934","131800","6000","6100","-1900","21.61"
"1938","158500","-1100","300","-","528.33"
"1939","43300","3700","18400","-1100","2.35"
"1941","30100","1000","13800","-700","2.18"
"1942","61600","18900","46900","-65500","1.31"
"1944","22200","6700","90300","8300","0.25"
"1945","107500","-16600","12100","-100","8.88"
"1946","6100","2300","1500","-2600","4.07"
"1948","19200","200","-","-","-"
"1949","57400","1800","4800","-400","11.96"
"1950","14000","1000","9200","2000","1.52"
"1951","68700","11600","48300","3600","1.42"
"1952","26400","4800","31300","-300","0.84"
"1959","36600","3700","44800","2400","0.82"
"1960","253000","100","-","-","-"
"1961","67100","-1900","9700","-200","6.92"
"1963","1121000","160300","139000","-10400","8.06"
"1964","72000","-700","10300","5700","6.99"
"1965","22100","-400","4900","1000","4.51"
"1966","387700","32000","22800","500","17"
"1967","591200","67400","6000","3500","98.53"
"1968","5500","300","2900","-1300","1.9"
"1969","45700","-1000","64000","9900","0.71"
"1971","45600","-94300","-","-","-"
"1972","161500","26700","14300","13700","11.29"
"1973","50400","9400","26800","-3000","1.88"
"1975","36500","8900","3800","-500","9.61"
"1976","34700","-3800","19400","3200","1.79"
"1979","59000","600","17700","-200","3.33"
"1980","103600","18100","97100","-21300","1.07"
"1981","2800","200","-","-","-"
"1982","35500","100","13500","400","2.63"
"1992","1900","400","-","-","-"
"1994","33200","-1800","-","-","-"
"1997","24400","100","-","-","-"
"2001","157800","9600","14900","-1500","10.59"
"2002","296800","-15300","40200","-10100","7.38"
"2003","41200","-3700","500","200","82.4"
"2004","18500","6000","3500","1300","5.29"
"2009","209800","78400","-","-","-"
"2053","286700","11900","4300","-100","66.67"
"2055","381500","-400","2900","100","131.55"
"2060","447600","-65500","10300","-3700","43.46"
"2107","58500","4600","-","-100","-"
"2108","16400","5600","5000","4100","3.28"
"2109","29700","7700","7100","-600","4.18"
"2112","812700","292300","260100","255700","3.12"
"2114","59200","17900","72600","5400","0.82"
"2117","46000","17100","25300","1800","1.82"
"2120","2942300","-190800","114600","-8700","25.67"
"2121","363000","-13600","32200","-200","11.27"
"2122","146200","200","-","-","-"
"2124","243000","5200","13300","-4800","18.27"
"2127","10459100","15800","223300","-45300","46.84"
"2130","283700","-16600","119000","6900","2.38"
"2134","7778100","-83000","-","-","-"
"2136","52600","-1100","-","-","-"
"2138","1681400","-1600","125800","-19200","13.37"
"2139","60800","-300","1200","-200","50.67"
"2146","369500","-54300","57500","6300","6.43"
"2148","202600","-9300","100","-","2026"
"2150","1230000","56400","-","-","-"
"2152","33800","2700","-","-","-"
"2153","231400","-30700","1100","200","210.36"
"2154","37000","1000","33200","-7000","1.11"
"2156","102900","5200","-","-","-"
"2157","1132600","235800","19400","-15700","58.38"
"2158","2059100","14700","-","-","-"
"2160","5428400","180900","370100","-30100","14.67"
"2162","1375000","-22700","22100","-3000","62.22"
"2163","97700","-29600","100","100","977"
"2164","39900","-8800","-","-","-"
"2168","304000","-36800","236800","-2100","1.28"
"2169","10700","-4400","900","-300","11.89"
"2170","680200","-22100","167900","-9300","4.05"
"2173","276200","39600","15500","4200","17.82"
"2175","277100","17000","120000","-5500","2.31"
"2179","5300","-500","-","-","-"
"2180","68500","-4100","-","-","-"
"2181","5755200","1700","367300","2200","15.67"
"2183","90400","4300","-","-","-"
"2185","78100","3200","-","-","-"
"2186","75500","300","-","-","-"
"2193","2489800","-57300","221700","35800","11.23"
"2195","174500","29000","-","-1600","-"
"2196","507100","3700","272300","-900","1.86"
"2198","122200","-10100","33300","2500","3.67"
"2201","164000","-700","15400","-2900","10.65"
"2204","9500","-","1700","200","5.59"
"2206","77300","2600","78800","34100","0.98"
"2207","4500","-700","3900","500","1.15"
"2208","3200","300","-","-","-"
"2209","12400","100","300","-","41.33"
"2211","44100","-5200","18500","-1200","2.38"
"2212","128100","28700","491800","-31500","0.26"
"2215","312600","6700","38600","-14900","8.1"
"2216","125100","-500","8300","-3100","15.07"
"2217","4800","200","7400","2100","0.65"
"2220","17400","-3800","9000","200","1.93"
"2221","2400","-400","-","-","-"
"2222","934400","42400","135600","-7900","6.89"
"2224","10700","-500","-","-","-"
"2226","5900","-","1900","-200","3.11"
"2229","106000","-16500","150200","36100","0.71"
"2264","99500","4000","24300","5500","4.09"
"2266","23500","200","4500","-1800","5.22"
"2267","1894900","-94600","186300","-13800","10.17"
"2268","3800","-300","-","-","-"
"2269","171600","-17000","69200","-600","2.48"
"2270","120400","-6400","84400","1900","1.43"
"2281","469900","14400","18900","200","24.86"
"2282","279900","-14700","48600","-9000","5.76"
"2286","300700","-8100","200","200","1503.5"
"2288","30000","700","8200","-1100","3.66"
"2291","20600","-400","4900","-","4.2"
"2292","16300","2400","12900","-500","1.26"
"2293","3200","-","-","-","-"
"2294","33200","2100","7800","100","4.26"
"2296","24400","7800","5100","1000","4.78"
"2300","53100","-4000","-","-","-"
"2301","60600","-2500","22300","-1700","2.72"
"2303","124700","200","-","-","-"
"2304","78700","-13600","10000","-600","7.87"
"2305","23100","300","25600","-6100","0.9"
"2307","65400","-14500","10000","-","6.54"
"2309","9900","400","100","-","99"
"2311","264900","29100","-","-100","-"
"2315","6127400","41000","1239800","-2700","4.94"
"2317","2031500","61700","194500","-8300","10.44"
"2321","1902900","48700","-","-","-"
"2323","282000","53400","-","-400","-"
"2325","20600","2800","4300","-200","4.79"
"2326","87700","-6000","11300","900","7.76"
"2327","13300","-35600","40500","-1900","0.33"
"2329","120900","5600","-","-","-"
"2330","2181900","102800","-","-","-"
"2331","284600","29300","99800","-12900","2.85"
"2332","66900","-600","2100","-100","31.86"
"2334","282400","4100","-","-","-"
"2335","40900","-600","5200","400","7.87"
"2337","1039800","-19900","833500","311300","1.25"
"2338","605600","67900","-","-","-"
"2340","103200","-8100","-","-","-"
"2341","1041300","51100","-","-","-"
"2342","606900","-59100","-","-","-"
"2344","104900","3900","-","-","-"
"2345","2964900","-55700","-","-","-"
"2349","39500","400","-","-","-"
"2351","238700","21600","-","-","-"
"2353","8826400","-627400","2582600","1482700","3.42"
"2354","1512600","-75300","-","-","-"
"2359","56500","100","13900","2400","4.06"
"2370","18530800","-210300","-","-","-"
"2371","449700","-22800","58500","-9900","7.69"
"2372","449200","-5300","11500","1400","39.06"
"2373","37400","-700","-","-","-"
"2374","129100","2600","300","100","430.33"
"2375","2798300","53000","9900","8400","282.66"
"2376","145400","6500","-","-2000","-"
"2378","103600","4100","415700","5200","0.25"
"2379","1005300","-278300","35900","3800","28"
"2384","589100","-2600","23000","-1400","25.61"
"2385","958100","-6000","-","-","-"
"2388","3578800","-393800","-","-","-"
"2389","249300","19400","14200","-2000","17.56"
"2391","22900","-3800","-","-","-"
"2393","27100","-100","-","-100","-"
"2395","986300","16400","573900","2700","1.72"
"2397","533300","-2100","-","-","-"
"2404","93200","-3100","21200","-200","4.4"
"2408","106500","18900","3600","3600","29.58"
"2410","303900","6200","5400","200","56.28"
"2411","334500","-242800","17900","-48300","18.69"
"2412","769200","64500","30300","-","25.39"
"2413","4087500","185900","323700","48800","12.63"
"2415","165100","16800","-","-","-"
