"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","27900","-1600","3600","100","7.75"
"1332","961200","-593900","439000","62900","2.19"
"1333","684800","-63800","49700","-400","13.78"
"1375","231600","-6700","13200","-","17.55"
"1376","28400","-1400","-","-","-"
"1377","62900","-3900","28200","400","2.23"
"1379","35900","2700","38100","600","0.94"
"1380","3800","700","-","-","-"
"1381","4400","700","-","-","-"
"1382","22300","3500","-","-","-"
"1383","9100","1500","-","-","-"
"1384","173200","2200","-","-","-"
"1400","595400","-25300","-","-","-"
"1401","94000","-200","-","-","-"
"1407","562100","2100","74000","11500","7.6"
"1414","84700","5800","22800","-2800","3.71"
"1417","157600","62700","31000","-8500","5.08"
"1418","780900","-2800","239000","-8400","3.27"
"1419","370300","-800","255500","-6600","1.45"
"1420","26900","-700","3200","-800","8.41"
"1429","394700","14600","17300","1400","22.82"
"1430","161600","-17400","51500","-200","3.14"
"1431","44100","-3200","118500","200","0.37"
"1433","260100","-1300","141500","10100","1.84"
"1434","115900","-17800","112100","64100","1.03"
"1435","2180200","-29000","1100","100","1982"
"1436","108000","-1400","-","-","-"
"1438","46500","-100","-","-","-"
"1439","68200","-300","-","-","-"
"1443","749800","13000","-","-","-"
"1444","29100","4300","-","-","-"
"1446","110000","-200","48200","1500","2.28"
"1447","2266800","-2600","-","-","-"
"1450","27300","-600","-","-","-"
"1451","38400","-700","-","-","-"
"1491","1495500","-189600","-","-","-"
"1514","11681700","-213100","9500","-","1229.65"
"1515","134300","-11600","13300","2000","10.1"
"1518","1142000","-202000","764100","54300","1.49"
"1605","5028200","18100","2540600","434500","1.98"
"1662","369000","5100","57600","-10100","6.41"
"1663","297900","24000","12200","6700","24.42"
"1711","589900","-28500","-","-","-"
"1712","312800","-7700","55100","-43800","5.68"
"1716","54600","-2900","2200","-200","24.82"
"1717","211000","-8700","-","-","-"
"1718","72200","33900","-","-","-"
"1719","330800","78900","153600","5100","2.15"
"1720","359300","50400","45300","-4300","7.93"
"1721","95500","17500","111300","5400","0.86"
"1723","18700","800","-","-","-"
"1724","196500","-1300","-","-","-"
"1726","160100","3200","28100","10900","5.7"
"1730","81700","1100","-","-","-"
"1736","14800","1600","-","-","-"
"1739","358800","-20500","-","-","-"
"1743","37100","1300","-","-","-"
"1757","7027900","-11400","-","-","-"
"1758","80200","-1100","-","-","-"
"1762","23200","1900","7200","100","3.22"
"1764","8200","700","-","-","-"
"1766","63900","-5200","5100","900","12.53"
"1768","6700","200","30500","-","0.22"
"1770","49400","-286700","-","-","-"
"1773","52000","15000","-","-","-"
"1775","20500","900","-","-","-"
"1776","125600","6200","-","-","-"
"1780","21800","8300","42500","-1500","0.51"
"1783","3513900","-47300","-","-","-"
