"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","31300","5000","36200","15000","0.86"
"1332","1130600","-55000","637500","320100","1.77"
"1333","517600","4100","42700","1400","12.12"
"1375","122000","-9500","29500","3100","4.14"
"1376","7000","-700","-","-","-"
"1377","96800","10800","22800","3700","4.25"
"1379","37100","-11200","74500","15700","0.5"
"1380","5100","600","-","-","-"
"1381","6400","-800","-","-","-"
"1382","34100","600","-","-","-"
"1383","17400","3900","-","-","-"
"1384","228000","26400","-","-","-"
"1400","257200","12700","-","-","-"
"1401","41200","-900","-","-","-"
"1407","488400","-28300","73800","7200","6.62"
"1414","170400","-10700","23100","2000","7.38"
"1417","102000","-20300","60600","19300","1.68"
"1418","213400","-28800","6400","-3300","33.34"
"1419","189400","51100","1162100","-42600","0.16"
"1420","42900","-2100","11800","5500","3.64"
"1429","369300","2400","69000","-4300","5.35"
"1430","152300","5400","6500","-300","23.43"
"1431","58500","-3600","203800","200","0.29"
"1433","197700","6500","117700","3300","1.68"
"1434","172300","14000","100","-300","1723"
"1435","2239800","-38100","8100","300","276.52"
"1436","91200","-1600","-","-","-"
"1438","12600","300","-","-","-"
"1439","71900","4600","-","-200","-"
"1443","945300","-27500","-","-","-"
"1444","52600","-7400","-","-","-"
"1446","61000","4000","37700","-4800","1.62"
"1447","2280300","-2600","-","-","-"
"1450","23600","-1900","-","-100","-"
"1451","41800","-5600","-","-","-"
"1491","1783300","-7900","-","-","-"
"1514","13665700","119700","14000","4500","976.12"
"1515","74200","-19000","22400","1800","3.31"
"1518","963200","-79400","399400","-25900","2.41"
"1605","7702100","765700","1018300","-189400","7.56"
"1662","313700","32300","146800","-1500","2.14"
"1663","281700","-40200","22000","2700","12.8"
"1711","541800","-19900","-","-","-"
"1712","133500","-11700","48700","-10400","2.74"
"1716","49700","-25000","300","-","165.67"
"1717","240100","-1800","-","-","-"
"1718","67900","1300","-","-","-"
"1719","159400","-4700","32000","9200","4.98"
"1720","879600","32300","84300","-2800","10.43"
"1721","165300","1300","97800","-1200","1.69"
"1723","36200","-13500","-","-","-"
"1724","261700","-7600","-","-","-"
"1726","205700","5300","291000","114300","0.71"
"1730","59100","5900","-","-","-"
"1736","9700","300","-","-","-"
"1739","353300","18000","-","-","-"
"1743","46500","4400","-","-","-"
"1757","24508100","-103000","-","-","-"
"1758","34400","700","-","-","-"
