"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","iFreeETF_TOPIX（年1回決算型）","東証","ETF","20230706","2436.5","-30","-1.22","2466.5","2450","2456.5","2428","588880","1438409","-","1966.5","2966.5"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20230706","2409.5","-28","-1.15","2437.5","2424","2429.5","2402","3547180","8570745","-","1937.5","2937.5"
"1308","上場インデックスファンドTOPIX","東証","ETF","20230706","2331","-81","-3.36","2412","2344","2391","2325.5","704400","1652792","-","1860.5","2860.5"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20230706","38670","-430","-1.1","39100","39100","39200","38570","98","3801","-","32100","46100"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20230706","1171.5","-0.5","-0.04","1172","1166","1171.5","1152.5","8620","9989","-","872","1472"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20230706","381","-3","-0.78","384","381.1","381.1","381","4000","1524","-","304","464"
"1320","iFreeETF_日経225（年1回決算型）","東証","ETF","20230706","34150","-610","-1.75","34760","34450","34480","34040","117608","4028181","-","27760","41760"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20230706","33810","-1030","-2.96","34840","33980","34060","33650","464212","15719376","-","27260","41260"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20230706","7651","-109","-1.4","7760","7755","7755","7621","1410","10775","-","6260","9260"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20230706","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20230706","224","-23.5","-9.49","247.5","235.1","241","223","228200","52682","-","149.5","309.5"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20230706","25640","-235","-0.91","25875","25730","25750","25625","12533","321925","-","20875","30880"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20230706","6842","-63","-0.91","6905","6863","6871","6841","40110","275007","-","5905","7905"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20230706","34170","-590","-1.7","34760","34410","34480","34020","62140","2126790","-","27760","41760"
"1330","上場インデックスファンド225","東証","ETF","20230706","33760","-1160","-3.32","34920","34130","34210","33650","82160","2787842","-","27360","41360"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20230706","2008.5","-5","-0.25","2013.5","2010.5","2014","2003.5","201010","403596","-","1513.5","2513.5"
"1345","上場インデックスファンドJリート（東証REIT指数）隔月分配型","東証","ETF","20230706","1882.5","-18.5","-0.97","1901","1890.5","1893","1880","72700","137135","-","1490.5","2290.5"
"1346","MAXIS_日経225上場投信","東証","ETF","20230706","34080","-570","-1.65","34650","34320","34390","33940","45718","1561888","-","27650","41650"
"1348","MAXIS_トピックス上場投信","東証","ETF","20230706","2383","-29.5","-1.22","2412.5","2397.5","2401.5","2375","1080780","2577895","-","1912.5","2912.5"
"1349","ABF汎アジア債券インデックス・ファンド（アジア国債・公債ETF）","東証","ETF","20230706","15400","-220","-1.41","15620","15610","15610","15400","26","403","-","11620","19620"
"1356","TOPIXベア2倍上場投信","東証","ETF","20230706","621.8","15","2.47","606.8","614.2","625","611.5","1287480","796293","-","506.8","706.8"
"1357","NEXT_FUNDS_日経平均ダブルインバース・インデックス連動型上場投信","東証","ETF","20230706","232","6","2.65","226","230","235","228","117381011","27174540","-","146","306"
"1358","上場インデックスファンド日経レバレッジ指数","東証","ETF","20230706","37570","-1360","-3.49","38930","38090","39340","37570","24516","932521","-","31930","45930"
"1360","日経平均ベア2倍上場投信","東証","ETF","20230706","569.3","19.2","3.49","550.1","560.1","573.3","558.9","24090480","13627695","-","450.1","650.1"
"1364","iシェアーズ_JPX日経400_ETF","東証","ETF","20230706","21280","-265","-1.23","21545","21360","21395","21220","441","9394","-","16545","26545"
"1365","iFreeETF_日経平均レバレッジ・インデックス","東証","ETF","20230706","31270","-1090","-3.37","32360","31750","31830","31000","65144","2045284","-","25360","39360"
"1366","iFreeETF_日経平均ダブルインバース・インデックス","東証","ETF","20230706","605","20","3.42","585","598","611","595","1536749","925579","-","485","685"
"1367","iFreeETF_TOPIXレバレッジ（2倍）指数","東証","ETF","20230706","26060","-660","-2.47","26720","26385","26510","25910","38276","1003597","-","21720","31720"
"1368","iFreeETF_TOPIXダブルインバース（-2倍）指数","東証","ETF","20230706","902","21","2.38","881","892","907","888","189166","169444","-","731","1031"
"1369","One_ETF_日経225","東証","ETF","20230706","32820","-870","-2.58","33690","33060","33060","32700","6550","215485","-","26380","40380"
