"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","ダイワ上場投信－トピックス","東証","ETF","20230322","2072.5","35.5","1.74","2037","2076.5","2080","2067.5","105950","219909","-","1537","2537"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20230322","2049.5","33","1.64","2016.5","2053","2057","2044","2275450","4670404","-","1516.5","2516.5"
"1308","上場インデックスファンドTOPIX","東証","ETF","20230322","2026","34.5","1.73","1991.5","2027.5","2033","2021","212100","430425","-","1591.5","2391.5"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20230322","39300","600","1.55","38700","39120","39530","39100","86","3377","-","31700","45700"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20230322","974","28.9","3.06","945.1","961","974.9","961","5190","5010","-","795.1","1095.5"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20230322","337.3","0.3","0.09","337","337.3","337.3","337.3","1000","337","-","257","417"
"1320","ダイワ上場投信－日経225","東証","ETF","20230322","28355","505","1.81","27850","28235","28410","28170","48056","1359966","-","22850","32850"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20230322","28435","490","1.75","27945","28320","28490","28245","361603","10259408","-","22945","32950"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20230322","7690","95","1.25","7595","7631","7780","7611","630","4819","-","6095","9095"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20230322","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20230322","192.7","0.9","0.47","191.8","191.8","193.1","190.9","11700","2248","-","141.8","241.8"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20230322","23865","-490","-2.01","24355","23925","23995","23855","15253","364767","-","19355","29355"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20230322","6397","-133","-2.04","6530","6448","6448","6381","28090","180069","-","5530","7530"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20230322","28320","510","1.83","27810","28210","28385","28150","22682","642098","-","22810","32810"
"1330","上場インデックスファンド225","東証","ETF","20230322","28445","500","1.79","27945","28315","28510","28270","34600","983155","-","22945","32950"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20230322","1911","26.5","1.41","1884.5","1891","1913.5","1885.5","1676310","3182664","-","1484.5","2284.5"
"1345","上場インデックスファンドJリート（東証REIT指数）隔月分配型","東証","ETF","20230322","1791","22","1.24","1769","1769","1794","1769","38800","69120","-","1369","2169"
"1346","MAXIS_日経225上場投信","東証","ETF","20230322","28270","510","1.84","27760","28140","28335","28100","19641","554844","-","22760","32760"
"1348","MAXIS_トピックス上場投信","東証","ETF","20230322","2028","36","1.81","1992","2028.5","2034","2022.5","48160","97682","-","1592","2392"
"1349","ABF汎アジア債券インデックス・ファンド（アジア国債・公債ETF）","東証","ETF","20230322","14680","0","0","14680","14680","14680","14680","2","29","-","11680","17680"
"1356","TOPIXベア2倍上場投信","東証","ETF","20230322","874.3","-33.7","-3.71","908","875.7","881","869.3","759990","663714","-","758","1058"
"1357","NEXT_FUNDS_日経平均ダブルインバース・インデックス連動型上場投信","東証","ETF","20230322","346","-13","-3.62","359","349","351","344","72607046","25174791","-","279","439"
"1358","上場インデックスファンド日経レバレッジ指数","東証","ETF","20230322","26085","920","3.66","25165","25820","26205","25770","19278","501862","-","20165","30170"
"1360","日経平均ベア2倍上場投信","東証","ETF","20230322","846.5","-32.2","-3.66","878.7","855.3","857.7","842","15386590","13069702","-","728.7","1029"
"1364","iシェアーズ_JPX日経400_ETF","東証","ETF","20230322","18045","305","1.72","17740","18040","18060","18005","693","12508","-","13740","21740"
"1365","ダイワ上場投信－日経平均レバレッジ・インデックス","東証","ETF","20230322","21720","770","3.68","20950","21480","21805","21435","44327","961220","-","15950","25950"
"1366","ダイワ上場投信－日経平均ダブルインバース・インデックス","東証","ETF","20230322","900","-37","-3.95","937","911","913","897","1029490","930798","-","787","1087"
"1367","ダイワ上場投信－TOPIXレバレッジ（2倍）指数","東証","ETF","20230322","19065","655","3.56","18410","19020","19160","18930","18265","348359","-","14410","22410"
"1368","ダイワ上場投信－TOPIXダブルインバース（-2倍）指数","東証","ETF","20230322","1268","-46","-3.5","1314","1269","1276","1260","53234","67392","-","1014","1614"
"1369","One_ETF_日経225","東証","ETF","20230322","27510","530","1.96","26980","27355","27515","27340","8373","229442","-","21980","31980"
"1385","UBS_ETF_ユーロ圏大型株50（ユーロ・ストックス50）","東証","ETF","20230322","5990","260","4.54","5730","6000","6010","5950","226","1354","-","4730","6730"
"1386","UBS_ETF_欧州株（MSCI_ヨーロッパ）","東証","ETF","20230322","10495","295","2.89","10200","10295","10495","10295","55","569","-","7200","13200"
"1387","UBS_ETF_ユーロ圏株（MSCI_EMU）","東証","ETF","20230322","20165","555","2.83","19610","20165","20165","20165","2","40","-","15610","23610"
"1388","UBS_ETF_ユーロ圏小型株（MSCI_EMU小型株）","東証","ETF","20230322","-","0","0","15825","-","-","-","-","-","-","11630","19630"
"1389","UBS_ETF_英国大型株100（FTSE_100）","東証","ETF","20230322","11290","420","3.86","10870","11285","11290","11240","15","169","-","7870","13870"
"1390","UBS_ETF_MSCIアジア太平洋株（除く日本）","東証","ETF","20230322","5690","140","2.52","5550","5680","5690","5680","153","869","-","4550","6550"
"1391","UBS_ETF_スイス株（MSCIスイス20/35）","東証","ETF","20230322","2991","93","3.21","2898","2991","2991","2979","179","535","-","2398","3400"
"1392","UBS_ETF_英国株（MSCI英国）","東証","ETF","20230322","3045","45","1.5","3000","3050","3050","3045","88","268","-","2300","3700"
"1393","UBS_ETF_米国株（MSCI米国）","東証","ETF","20230322","50920","740","1.47","50180","51790","51790","50730","112","5777","-","40180","60180"
"1394","UBS_ETF_先進国株（MSCIワールド）","東証","ETF","20230322","-","0","0","36410","-","-","-","-","-","-","29410","43410"
"1397","SMDAM_日経225上場投信","東証","ETF","20230322","27795","530","1.94","27265","27690","27795","27670","4195","116228","-","22265","32270"
"1398","SMDAM_東証REIT指数上場投信","東証","ETF","20230322","1810","23.5","1.32","1786.5","1785","1812","1785","37260","67087","-","1386.5","2186.5"
"1399","上場インデックスファンドMSCI日本株高配当低ボラティリティ","東証","ETF","20230322","1634.5","16","0.99","1618.5","1620.5","1634.5","1620.5","70","114","-","1218.5","2018.5"
"1456","ダイワ上場投信－日経平均インバース・インデックス","東証","ETF","20230322","4075","-75","-1.81","4150","4090","4095","4065","5407","22072","-","3450","4850"
"1457","ダイワ上場投信－TOPIXインバース（-1倍）指数","東証","ETF","20230322","4740","-85","-1.76","4825","4735","4745","4725","266","1259","-","4125","5530"
"1458","楽天ETF-日経レバレッジ指数連動型","東証","ETF","20230322","16520","580","3.64","15940","16340","16590","16315","761788","12534768","-","11940","19940"
"1459","楽天ETF-日経ダブルインバース指数連動型","東証","ETF","20230322","1390","-54","-3.74","1444","1406","1411","1384","9569138","13364000","-","1144","1744"
"1464","ダイワ上場投信－JPX日経400_レバレッジ・インデックス","東証","ETF","20230322","15205","525","3.58","14680","15080","15205","15080","59","892","-","11680","17680"
"1465","ダイワ上場投信－JPX日経400_インバース・インデックス","東証","ETF","20230322","4550","-70","-1.52","4620","4610","4610","4550","13","59","-","3920","5320"
"1466","ダイワ上場投信－JPX日経400_ダブルインバース・インデックス","東証","ETF","20230322","1628","-40","-2.4","1668","1628","1641","1625","1333","2174","-","1268","2068"
"1467","JPX日経400ブル2倍上場投信（レバレッジ）","東証","ETF","20230322","14090","440","3.22","13650","14845","14845","14090","70","1024","-","10650","16650"
"1468","JPX日経400ベア上場投信（インバース）","東証","ETF","20230322","3770","-1","-0.03","3771","3770","3770","3770","20","75","-","3071","4471"
"1469","JPX日経400ベア2倍上場投信（ダブルインバース）","東証","ETF","20230322","1609.5","-44","-2.66","1653.5","1586","1614","1585.5","6400","10259","-","1253.5","2053.5"
"1472","NEXT_FUNDS_JPX日経400ダブルインバース・インデックス連動型上場投信","東証","ETF","20230322","650","-23","-3.42","673","648","656","648","8750","5710","-","573","773"
"1473","One_ETF_トピックス","東証","ETF","20230322","1990.5","37.5","1.92","1953","1989.5","1993.5","1981.5","36720","73080","-","1553","2353"
"1474","One_ETF_JPX日経400","東証","ETF","20230322","17870","340","1.94","17530","17870","17870","17870","22","393","-","13530","21530"
"1475","iシェアーズ・コア_TOPIX_ETF","東証","ETF","20230322","2004","36","1.83","1968","2006","2009","1997","153155","307210","-","1568","2368"
"1476","iシェアーズ・コア_Jリート_ETF","東証","ETF","20230322","1831","21","1.16","1810","1813","1835","1811","262027","478819","-","1410","2210"
"1477","iシェアーズ_MSCI_日本株最小分散_ETF","東証","ETF","20230322","1893","23","1.23","1870","1890","1897","1890","71","134","-","1470","2270"
"1478","iシェアーズ_MSCI_ジャパン高配当利回り_ETF","東証","ETF","20230322","2413","33","1.39","2380","2422","2422","2400","103668","249467","-","1880","2880"
"1479","ダイワ上場投信－MSCI日本株人材設備投資指数","東証","ETF","20230322","-","0","0","23720","-","-","-","-","-","-","18720","28720"
"1480","NEXT_FUNDS_野村企業価値分配指数連動型上場投信","東証","ETF","20230322","19760","145","0.74","19615","19710","19760","19710","2","39","-","15615","23615"
"1481","上場インデックスファンド日本経済貢献株","東証","ETF","20230322","2040","31","1.54","2009","2036","2040","2036","101","206","-","1509","2509"
"1482","iシェアーズ・コア_米国債7-10年ETF（為替ヘッジあり）","東証","ETF","20230322","1915","-26","-1.34","1941","1916","1916","1911","54306","103935","-","1541","2341"
"1483","iシェアーズ_JPX/S&P_設備・人材投資ETF","東証","ETF","20230322","2040","35","1.75","2005","2039","2064","2035","21","43","-","1505","2505"
"1484","One_ETF_JPX/S&P_設備・人材投資指数","東証","ETF","20230322","2016","36","1.82","1980","2010.5","2016.5","2010.5","7590","15283","-","1580","2380"
"1485","MAXIS_JAPAN_設備・人材積極投資企業200上場投信","東証","ETF","20230322","-","0","0","30620","-","-","-","-","-","-","23620","37620"
"1486","上場インデックスファンド米国債券（為替ヘッジなし）","東証","ETF","20230322","21535","-135","-0.62","21670","21630","21630","21480","27681","595153","-","16670","26670"
"1487","上場インデックスファンド米国債券（為替ヘッジあり）","東証","ETF","20230322","14730","-185","-1.24","14915","14810","14810","14685","50460","741752","-","11915","17915"
"1488","ダイワ上場投信－東証REIT指数","東証","ETF","20230322","1822.5","24","1.33","1798.5","1803","1824.5","1803","39480","71570","-","1398.5","2198.5"
"1489","NEXT_FUNDS_日経平均高配当株50指数連動型上場投信","東証","ETF","20230322","44500","920","2.11","43580","44660","44690","44370","27992","1246354","-","36580","50580"
"1490","上場インデックスファンドMSCI日本株高配当低ボラティリティ（βヘッジ）","東証","ETF","20230322","-","0","0","7702","-","-","-","-","-","-","6202","9202"
"1492","MAXIS_JPX_日経中小型株指数上場投信","東証","ETF","20230322","15550","250","1.63","15300","15535","15620","15535","13","202","-","11300","19300"
"1493","One_ETF_JPX日経中小型","東証","ETF","20230322","15510","315","2.07","15195","15475","15510","15475","27","419","-","11195","19195"
"1494","One_ETF_高配当日本株","東証","ETF","20230322","21045","345","1.67","20700","21175","21175","21000","361","7592","-","15700","25700"
"1495","上場インデックスファンドアジアリート","東証","ETF","20230322","10260","120","1.18","10140","10260","10290","10250","310","3184","-","7140","13140"
"1496","iシェアーズ_米ドル建て投資適格社債_ETF（為替ヘッジあり）","東証","ETF","20230322","1992","10","0.5","1982","1983","1994","1983","6762","13457","-","1582","2382"
"1497","iシェアーズ_米ドル建てハイイールド社債_ETF（為替ヘッジあり）","東証","ETF","20230322","1922","15","0.79","1907","1922","1926","1917","29988","57689","-","1507","2307"
"1498","One_ETF_ESG","東証","ETF","20230322","14880","260","1.78","14620","14885","14900","14880","35","521","-","11620","17620"
"1499","MAXIS日本株高配当70マーケットニュートラル上場投信","東証","ETF","20230322","8804","3","0.03","8801","8808","8947","8804","43","380","-","7301","10305"
"1540","純金上場信託（現物国内保管型）","東証","ETF","20230322","7856","-163","-2.03","8019","7870","7885","7843","148187","1165708","-","6519","9519"
"1541","純プラチナ上場信託（現物国内保管型）","東証","ETF","20230322","3875","10","0.26","3865","3880","3885","3870","8523","33039","-","3165","4565"
"1542","純銀上場信託（現物国内保管型）","東証","ETF","20230322","8820","-29","-0.33","8849","8823","8858","8801","5396","47660","-","7349","10350"
"1543","純パラジウム上場信託（現物国内保管型）","東証","ETF","20230322","56000","-630","-1.11","56630","56620","56620","55430","716","40113","-","46630","66630"
"1545","NEXT_FUNDS_NASDAQ-100（為替ヘッジなし）連動型上場投信","東証","ETF","20230322","17120","345","2.06","16775","17120","17185","17100","86176","1475935","-","12775","20775"
"1546","NEXT_FUNDS_ダウ・ジョーンズ工業株30種平均株価（為替ヘッジなし）連動型上場投信","東証","ETF","20230322","42220","1130","2.75","41090","42180","42340","42170","5584","235802","-","34090","48090"
"1547","上場インデックスファンド米国株式（S&P500）","東証","ETF","20230322","5763","156","2.78","5607","5757","5780","5755","30780","177403","-","4607","6607"
