"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","iFreeETF_TOPIX（年1回決算型）","東証","ETF","20240129","2672","29.5","1.12","2642.5","2651.5","2682","2651.5","54670","146068","-","2142.5","3143"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20240129","2643.5","31.5","1.21","2612","2623.5","2653","2623.5","846040","2233553","-","2112","3112"
"1308","上場インデックスファンドTOPIX","東証","ETF","20240129","2616","34","1.32","2582","2595","2622","2595","119918","312695","-","2082","3085"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20240129","37660","-30","-0.08","37690","37830","37890","37500","277","10424","-","30690","44690"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20240129","1296.5","12.5","0.97","1284","1288","1305","1288","15850","20578","-","984","1584"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20240129","451","8.9","2.01","442.1","450.1","451","443.7","8000","3590","-","362.1","522.1"
"1320","iFreeETF_日経225（年1回決算型）","東証","ETF","20240129","37230","320","0.87","36910","37010","37390","37010","24492","911199","-","29910","43910"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20240129","37380","310","0.84","37070","37160","37540","37130","229422","8563715","-","30070","44070"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20240129","7120","-30","-0.42","7150","7260","7278","7010","2050","14591","-","5650","8650"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20240129","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20240129","247.6","3.4","1.39","244.2","246","248.2","245.9","25100","6196","-","164.2","324.2"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20240129","27770","90","0.33","27680","27770","27815","27735","2255","62640","-","22680","32680"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20240129","7367","21","0.29","7346","7365","7380","7361","6050","44594","-","5846","8846"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20240129","37550","320","0.86","37230","37350","37720","37330","39796","1492492","-","30230","44230"
"1330","上場インデックスファンド225","東証","ETF","20240129","37430","310","0.84","37120","37210","37570","37200","14619","546467","-","30120","44120"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20240129","1954.5","0","0","1954.5","1956","1961","1947","203920","398593","-","1554.5","2354.5"
"1345","上場インデックスファンドJリート（東証REIT指数）隔月分配型","東証","ETF","20240129","1831","0","0","1831","1836","1836","1824.5","12000","21964","-","1431","2231"
"1346","MAXIS_日経225上場投信","東証","ETF","20240129","37200","320","0.87","36880","36980","37340","36950","31292","1161421","-","29880","43880"
"1348","MAXIS_トピックス上場投信","東証","ETF","20240129","2614.5","31","1.2","2583.5","2597","2624","2597","291890","762178","-","2083.5","3084"
"1349","ABF汎アジア債券インデックス・ファンド（アジア国債・公債ETF）","東証","ETF","20240129","15665","-65","-0.41","15730","15605","15665","15605","41","641","-","11730","19730"
"1356","TOPIXベア2倍上場投信","東証","ETF","20240129","471.4","-12.1","-2.5","483.5","479","479","468.5","939100","443023","-","403.5","563.5"
"1357","NEXT_FUNDS_日経平均ダブルインバース・インデックス連動型上場投信","東証","ETF","20240129","179","-2","-1.1","181","180","181","176","58381308","10417403","-","131","231"
"1358","上場インデックスファンド日経レバレッジ指数","東証","ETF","20240129","45250","740","1.66","44510","44720","45640","44720","13616","616008","-","37510","51510"
"1360","日経平均ベア2倍上場投信","東証","ETF","20240129","435.4","-7.4","-1.67","442.8","440.8","441.3","431.7","24383960","10627929","-","362.8","522.8"
"1364","iシェアーズ_JPX日経400_ETF","東証","ETF","20240129","23645","235","1","23410","23385","23645","23385","169","3975","-","18410","28410"
"1365","iFreeETF_日経平均レバレッジ・インデックス","東証","ETF","20240129","37680","650","1.76","37030","37250","37990","37200","32450","1219777","-","30030","44030"
"1366","iFreeETF_日経平均ダブルインバース・インデックス","東証","ETF","20240129","462","-9","-1.91","471","468","469","459","1185800","548360","-","391","551"
"1367","iFreeETF_TOPIXレバレッジ（2倍）指数","東証","ETF","20240129","32210","780","2.48","31430","31710","32390","31710","5602","179693","-","24430","38430"
"1368","iFreeETF_TOPIXダブルインバース（-2倍）指数","東証","ETF","20240129","684","-17","-2.43","701","695","695","679","25248","17324","-","551","851"
"1369","One_ETF_日経225","東証","ETF","20240129","36100","290","0.81","35810","35890","36210","35890","847","30544","-","28810","42810"
"1397","SMDAM_日経225上場投信","東証","ETF","20240129","36380","260","0.72","36120","36200","36560","36200","1081","39306","-","29120","43120"
"1398","SMDAM_東証REIT指数上場投信","東証","ETF","20240129","1858","1","0.05","1857","1852","1863","1852","25930","48147","-","1457","2257"
"1399","上場インデックスファンドMSCI日本株高配当低ボラティリティ","東証","ETF","20240129","2080","21.5","1.04","2058.5","2062.5","2080.5","2062.5","330","683","-","1558.5","2558.5"
"1456","iFreeETF_日経平均インバース・インデックス","東証","ETF","20240129","2943","-25","-0.84","2968","2958","2960","2930","89656","263753","-","2468","3470"
"1457","iFreeETF_TOPIXインバース（-1倍）指数","東証","ETF","20240129","3505","-35","-0.99","3540","3525","3525","3490","3664","12837","-","2840","4240"
"1458","楽天ETF-日経レバレッジ指数連動型","東証","ETF","20240129","28725","470","1.66","28255","28420","28980","28380","272986","7831401","-","23255","33260"
"1459","楽天ETF-日経ダブルインバース指数連動型","東証","ETF","20240129","718","-13","-1.78","731","726","728","711","12213837","8776533","-","581","881"
"1464","iFreeETF_JPX日経400レバレッジ・インデックス","東証","ETF","20240129","25705","370","1.46","25335","25595","26000","25595","116","2993","-","20335","30340"
"1465","iFreeETF_JPX日経400インバース・インデックス","東証","ETF","20240129","-","0","0","3400","-","-","-","-","-","-","2700","4100"
"1466","iFreeETF_JPX日経400ダブルインバース・インデックス","東証","ETF","20240129","876","-14","-1.57","890","881","881","864","462","405","-","740","1040"
"1469","JPX日経400ベア2倍上場投信（ダブルインバース）","東証","ETF","20240129","851.3","-18.7","-2.15","870","860.1","860.4","851.3","3820","3281","-","720","1020"
"1472","NEXT_FUNDS_JPX日経400ダブルインバース・インデックス連動型上場投信","東証","ETF","20240129","353","-4","-1.12","357","361","361","348","4151","1459","-","277","437"
"1473","One_ETF_トピックス","東証","ETF","20240129","2564","23","0.91","2541","2547","2569","2545","25100","64086","-","2041","3041"
"1474","One_ETF_JPX日経400","東証","ETF","20240129","23075","255","1.12","22820","23075","23075","23075","23","531","-","17820","27820"
"1475","iシェアーズ・コア_TOPIX_ETF","東証","ETF","20240129","2618","31","1.2","2587","2596","2623","2596","528681","1379619","-","2087","3090"
"1476","iシェアーズ・コア_Jリート_ETF","東証","ETF","20240129","1874","1","0.05","1873","1870","1880","1865","30420","56930","-","1473","2273"
"1477","iシェアーズ_MSCI_日本株最小分散_ETF","東証","ETF","20240129","2431","23","0.96","2408","2414","2436","2414","9","22","-","1908","2908"
"1478","iシェアーズ_MSCI_ジャパン高配当利回り_ETF","東証","ETF","20240129","3435","45","1.33","3390","3390","3440","3390","16392","56082","-","2690","4090"
"1479","iFreeETF_MSCI日本株人材設備投資指数","東証","ETF","20240129","-","0","0","32020","-","-","-","-","-","-","25020","39020"
"1480","NEXT_FUNDS_野村企業価値分配指数連動型上場投信","東証","ETF","20240129","25305","130","0.52","25175","25175","25305","25175","6","151","-","20175","30180"
"1481","上場インデックスファンド日本経済貢献株","東証","ETF","20240129","2587","30","1.17","2557","2589","2590","2580","229","591","-","2057","3060"
"1482","iシェアーズ・コア_米国債7-10年ETF（為替ヘッジあり）","東証","ETF","20240129","1766","-6","-0.34","1772","1766","1767","1764","81871","144574","-","1372","2172"
"1483","iシェアーズ_JPX/S&P_設備・人材投資ETF","東証","ETF","20240129","2580","0","0","2580","2580","2580","2580","2","5","-","2080","3080"
"1484","One_ETF_JPX/S&P_設備・人材投資指数","東証","ETF","20240129","2557.5","22.5","0.89","2535","2559.5","2559.5","2557.5","760","1945","-","2035","3035"
"1485","MAXIS_JAPAN_設備・人材積極投資企業200上場投信","東証","ETF","20240129","-","0","0","36220","-","-","-","-","-","-","29220","43220"
"1486","上場インデックスファンド米国債券（為替ヘッジなし）","東証","ETF","20240129","23095","-20","-0.09","23115","23105","23140","23095","1285","29693","-","18115","28115"
"1487","上場インデックスファンド米国債券（為替ヘッジあり）","東証","ETF","20240129","13555","-30","-0.22","13585","13545","13555","13535","2261","30625","-","10585","16585"
"1488","iFreeETF_東証REIT指数","東証","ETF","20240129","1870","0","0","1870","1868","1876","1862","53980","100940","-","1470","2270"
"1489","NEXT_FUNDS_日経平均高配当株50指数連動型上場投信","東証","ETF","20240129","2116","35","1.68","2081","2100","2119","2097","484708","1022329","-","1581","2581"
"1490","上場インデックスファンドMSCI日本株高配当低ボラティリティ（βヘッジ）","東証","ETF","20240129","-","0","0","7874","-","-","-","-","-","-","6374","9374"
"1492","MAXIS_JPX_日経中小型株指数上場投信","東証","ETF","20240129","18400","100","0.55","18300","18300","18400","18290","34","623","-","14300","22300"
"1493","One_ETF_JPX日経中小型","東証","ETF","20240129","18355","195","1.07","18160","18280","18355","18250","106","1944","-","14160","22160"
"1494","One_ETF_高配当日本株","東証","ETF","20240129","28095","290","1.04","27805","28120","28160","27960","753","21137","-","22805","32810"
"1495","上場インデックスファンドアジアリート","東証","ETF","20240129","10335","-45","-0.43","10380","10335","10380","10335","240","2482","-","7380","13380"
"1496","iシェアーズ_米ドル建て投資適格社債_ETF（為替ヘッジあり）","東証","ETF","20240129","1898","-7","-0.37","1905","1899","1899","1893","22761","43160","-","1505","2305"
"1497","iシェアーズ_米ドル建てハイイールド社債_ETF（為替ヘッジあり）","東証","ETF","20240129","1898","0","0","1898","1898","1898","1894","11731","22241","-","1498","2298"
"1498","One_ETF_ESG","東証","ETF","20240129","19750","240","1.23","19510","19610","19760","19610","148","2916","-","15510","23510"
"1499","MAXIS日本株高配当70マーケットニュートラル上場投信","東証","ETF","20240129","9474","14","0.15","9460","9475","9475","9410","129","1218","-","7960","10960"
"1540","純金上場信託（現物国内保管型）","東証","ETF","20240129","9119","33","0.36","9086","9101","9125","9097","139531","1271251","-","7586","10590"
"1541","純プラチナ上場信託（現物国内保管型）","東証","ETF","20240129","3985","30","0.76","3955","4000","4010","3985","31181","124621","-","3255","4655"
"1542","純銀上場信託（現物国内保管型）","東証","ETF","20240129","9886","11","0.11","9875","9889","9902","9800","7278","71848","-","8375","11375"
"1543","純パラジウム上場信託（現物国内保管型）","東証","ETF","20240129","42650","30","0.07","42620","43000","43000","42440","681","29062","-","35620","49620"
"1545","NEXT_FUNDS_NASDAQ-100（為替ヘッジなし）連動型上場投信","東証","ETF","20240129","26115","110","0.42","26005","26055","26150","26050","26321","686962","-","21005","31010"
"1546","NEXT_FUNDS_ダウ・ジョーンズ工業株30種平均株価（為替ヘッジなし）連動型上場投信","東証","ETF","20240129","54950","200","0.37","54750","54940","55030","54940","2193","120554","-","44750","64750"
"1547","上場インデックスファンド米国株式（S&P500）","東証","ETF","20240129","7847","34","0.44","7813","7837","7852","7837","85690","671945","-","6313","9313"
"1550","MAXIS_海外株式（MSCIコクサイ）上場投信","東証","ETF","20240129","4903","31","0.64","4872","4890","4913","4890","4780","23413","-","4172","5572"
"1551","東証スタンダードTOP20ETF","東証","ETF","20240129","5021","13","0.26","5008","5017","5100","5000","190","957","-","4008","6008"
