"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","iFreeETF_TOPIX（年1回決算型）","東証","ETF","20240216","2777.5","35.5","1.29","2742","2768.5","2791.5","2764","249770","694501","-","2242","3242"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20240216","2750","34","1.25","2716","2741","2762.5","2734","2600590","7150387","-","2216","3216"
"1308","上場インデックスファンドTOPIX","東証","ETF","20240216","2714","34","1.27","2680","2707","2730","2703","316745","861879","-","2180","3180"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20240216","38700","790","2.08","37910","38210","38700","37940","873","33398","-","30910","44910"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20240216","1397.5","22","1.6","1375.5","1400","1402.5","1380","46060","64296","-","1075.5","1675.5"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20240216","479.4","11.4","2.44","468","471.4","479.4","471.4","2000","951","-","388","548"
"1320","iFreeETF_日経225（年1回決算型）","東証","ETF","20240216","39760","340","0.86","39420","39980","40160","39650","81074","3237333","-","32420","46420"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20240216","39950","360","0.91","39590","40140","40310","39800","711102","28513527","-","32590","46590"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20240216","7250","101","1.41","7149","7190","7250","7100","1020","7345","-","5649","8649"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20240216","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20240216","251","2","0.8","249","248","251","247","69600","17356","-","169","329"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20240216","27915","195","0.7","27720","27820","27925","27820","9388","261872","-","22720","32720"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20240216","7397","36","0.49","7361","7386","7412","7379","20370","150759","-","5861","8861"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20240216","39820","340","0.86","39480","40060","40200","39690","41657","1665661","-","32480","46480"
"1330","上場インデックスファンド225","東証","ETF","20240216","39960","350","0.88","39610","40180","40350","39850","32984","1324204","-","32610","46610"
"133A","グローバルX_超短期米国債_ETF","東証","ETF","20240216","1023","0","0","1023","1023","1024","1020","23154","23669","-","723","1323"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20240216","1840.5","-10","-0.54","1850.5","1860","1860","1830.5","1366750","2517408","-","1450.5","2250.5"
