"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","iFreeETF_TOPIX（年1回決算型）","東証","ETF","20230711","2341","-8.5","-0.36","2349.5","2359.5","2360","2334","39670","93088","-","1849.5","2849.5"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20230711","2316","-9","-0.39","2325","2334","2337","2309","1028970","2388731","-","1825","2825"
"1308","上場インデックスファンドTOPIX","東証","ETF","20230711","2289","-10.5","-0.46","2299.5","2306","2309","2283","443192","1019046","-","1800","2800"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20230711","38540","230","0.6","38310","38350","38540","38200","122","4668","-","31310","45310"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20230711","1126","-4.5","-0.4","1130.5","1138","1144","1121","17250","19499","-","830.5","1430.5"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20230711","378","7.2","1.94","370.8","372","378.1","372","11000","4131","-","290.8","450.8"
"1320","iFreeETF_日経225（年1回決算型）","東証","ETF","20230711","32990","-20","-0.06","33010","33230","33280","32870","86717","2869072","-","26010","40010"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20230711","33130","-10","-0.03","33140","33360","33410","32970","265870","8837374","-","26140","40140"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20230711","7595","-10","-0.13","7605","7592","7606","7533","520","3945","-","6105","9105"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20230711","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20230711","218.7","-4.3","-1.93","223","219.9","221","218.1","69600","15279","-","143","303"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20230711","25240","-240","-0.94","25480","25300","25340","25200","16683","421499","-","20480","30480"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20230711","6748","-57","-0.84","6805","6754","6763","6729","26600","179303","-","5805","7805"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20230711","33570","0","0","33570","33790","33860","33450","13209","444878","-","26570","40570"
"1330","上場インデックスファンド225","東証","ETF","20230711","33170","10","0.03","33160","33360","33420","33020","16458","546946","-","26160","40160"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20230711","2008","10.5","0.53","1997.5","2001.5","2015","2000","165650","332812","-","1597.5","2397.5"
"1345","上場インデックスファンドJリート（東証REIT指数）隔月分配型","東証","ETF","20230711","1882","8.5","0.45","1873.5","1874","1889","1874","12800","24097","-","1473.5","2273.5"
