"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","4756","835","126","67","37.75"
"2972","13816","429","1","-","13816"
"2979","623","-62","8","-6","77.88"
"2989","7635","1289","-","-","-"
"3226","131","44","45","-43","2.91"
"3234","758","48","318","-148","2.38"
"3249","1603","321","957","914","1.68"
"3269","614","99","55","17","11.16"
"3278","109","-18","76","11","1.43"
"3279","917","57","4","-17","229.25"
"3281","676","-71","522","31","1.3"
"3282","93","13","739","19","0.13"
"3283","285","-31","164","-26","1.74"
"3287","594","157","159","-33","3.74"
"3290","1242","-72","194","-53","6.4"
"3292","769","65","64","-83","12.02"
"3295","682","-91","28","-188","24.36"
"3296","2551","232","31","2","82.29"
"3309","6520","543","129","-180","50.54"
"3451","2184","163","-","-","-"
"3453","2130","446","67","-31","31.79"
"3455","546","162","116","-90","4.71"
"3459","1186","28","-","-","-"
"3462","1651","-254","228","101","7.24"
"3463","7360","1717","1201","1201","6.13"
"3466","397","32","149","-63","2.66"
"3468","7150","-507","21","-137","340.48"
"3470","2556","-29","-","-","-"
"3471","382","-106","54","48","7.07"
"3472","6097","337","-","-","-"
"3476","13840","499","108","-229","128.15"
"3481","462","-53","28","-2","16.5"
"3487","861","23","38","-25","22.66"
"3488","2299","140","-","-","-"
"3492","14954","2229","206","-548","72.59"
"3493","581","87","-","-","-"
"8951","1236","-46","258","80","4.79"
"8952","1036","198","140","-245","7.4"
"8953","2828","543","283","-112","9.99"
"8954","711","203","102","-159","6.97"
"8955","281","38","129","-43","2.18"
"8956","1603","-175","304","-44","5.27"
"8957","206","86","400","-20","0.52"
"8958","4311","727","121","-272","35.63"
"8960","2435","-12","60","-104","40.58"
"8961","1739","409","94","-199","18.5"
"8963","57083","2345","2388","-601","23.9"
"8964","756","101","61","-63","12.39"
"8966","157","1","488","-76","0.32"
"8967","81","-12","391","-3","0.21"
"8968","757","250","141","-220","5.37"
"8972","274","20","15","-6","18.27"
"8975","3299","136","970","-108","3.4"
"8976","233","-6","14","-233","16.64"
"8977","540","-165","390","-11","1.38"
"8979","317","39","44","-","7.2"
"8984","852","2","93","-112","9.16"
"8985","9676","-92","917","271","10.55"
"8986","1109","132","63","-116","17.6"
"8987","962","-452","273","-129","3.52"
