"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","3240","350","369","-69","8.78"
"2972","5047","183","-","-","-"
"2979","8372","938","6","6","1395.33"
"2989","5758","-","210","-","27.42"
"3226","381","68","73","20","5.22"
"3234","3764","689","203","-2","18.54"
"3249","22663","10026","66530","53043","0.34"
"3269","876","208","242","-","3.62"
"3279","557","25","28","-15","19.89"
"3281","6469","3051","43","-25","150.44"
"3282","656","118","4","-","164"
"3283","712","73","982","205","0.73"
"3287","1006","5","45","-3","22.36"
"3290","1150","-10","248","-21","4.64"
"3292","4806","1740","32","-20","150.19"
"3295","635","-49","194","64","3.27"
"3296","1103","25","14","-","78.79"
"3309","4590","306","340","-83","13.5"
"3451","1764","196","-","-","-"
"3455","2482","343","14","-20","177.29"
"3459","3059","188","26","4","117.65"
"3462","2048","90","44","-45","46.55"
"3463","6220","1299","-","-","-"
"3466","1347","413","478","189","2.82"
"3468","9713","2238","13","-566","747.15"
"3470","1699","174","-","-","-"
"3471","935","229","14","-15","66.79"
"3472","1454","-22","-","-","-"
"3476","17105","269","195","72","87.72"
"3481","1073","168","10","2","107.3"
"3487","2595","1033","22","17","117.95"
"3488","2928","1080","1","-","2928"
"3492","14564","-7215","18277","-1318","0.8"
"3493","1047","378","3","3","349"
"8951","1057","108","264","79","4"
"8952","1357","198","16","-27","84.81"
"8953","8331","2267","361","-93","23.08"
"8954","1411","89","29","-1","48.66"
"8955","377","46","10","1","37.7"
"8956","2053","26","139","5","14.77"
"8957","767","-3","244","9","3.14"
"8958","4572","10","18","13","254"
"8960","3142","457","23","-5","136.61"
"8961","3072","-35","21","-66","146.29"
"8963","63871","-643","990","-168","64.52"
"8964","1365","282","55","10","24.82"
"8966","7090","-456","32","-20","221.56"
"8967","402","102","238","-28","1.69"
"8968","760","-23","1155","-101","0.66"
"8972","5683","-77","83","36","68.47"
"8975","2806","80","-","-","-"
"8976","384","42","6","4","64"
"8977","1264","122","601","23","2.1"
"8979","837","80","42","-1","19.93"
"8984","2422","-701","259","-67","9.35"
"8985","12706","-2869","345","42","36.83"
"8986","1592","412","26","-8","61.23"
"8987","2535","553","235","67","10.79"
