"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","3053","-395","15","-13","203.53"
"2972","11621","-161","1","-","11621"
"2979","567","-63","48","41","11.81"
"2989","6132","-249","-","-","-"
"3226","26","-6","178","-55","0.15"
"3234","755","148","428","-77","1.76"
"3249","859","-120","222","-29","3.87"
"3269","242","-1","782","67","0.31"
"3278","198","-4","40","-2","4.95"
"3279","861","24","78","37","11.04"
"3281","542","12","232","-170","2.34"
"3282","38","7","744","-34","0.05"
"3283","149","-65","281","-19","0.53"
"3287","402","-43","160","10","2.51"
"3290","2082","121","188","-8","11.07"
"3292","294","-11","215","46","1.37"
"3295","601","95","55","-33","10.93"
"3296","1865","21","20","-4","93.25"
"3309","4105","-450","943","104","4.35"
"3451","1872","-210","-","-","-"
"3453","1648","142","22","3","74.91"
"3455","254","-26","88","-6","2.89"
"3459","1174","-57","-","-","-"
"3462","1243","-128","445","113","2.79"
"3463","6210","-198","-","-","-"
"3466","443","-12","161","-29","2.75"
"3468","5506","-35","91","34","60.51"
"3470","2310","-152","-","-","-"
"3471","378","130","105","-43","3.6"
"3472","5390","-138","-","-","-"
"3476","9464","873","130","-389","72.8"
"3481","327","-50","43","6","7.6"
"3487","703","-72","201","-101","3.5"
"3488","2639","-23","-","-","-"
"3492","14308","587","47","-41","304.43"
"3493","634","-29","-","-","-"
"8951","2077","695","256","83","8.11"
"8952","1666","156","228","42","7.31"
"8953","4316","29","141","-70","30.61"
"8954","648","61","97","2","6.68"
"8955","326","91","174","25","1.87"
"8956","1921","143","86","-45","22.34"
"8957","213","-11","350","-31","0.61"
"8958","5407","1089","6","-24","901.17"
"8960","2150","98","88","-14","24.43"
"8961","1058","-135","96","-70","11.02"
"8963","52902","4197","3272","-511","16.17"
"8964","280","76","78","-9","3.59"
"8966","121","-26","761","174","0.16"
"8967","96","9","509","-131","0.19"
"8968","633","31","32","-114","19.78"
"8972","570","-139","82","-391","6.95"
"8975","11708","-1207","767","-41","15.26"
"8976","686","223","57","53","12.04"
"8977","541","-124","421","5","1.29"
"8979","284","-63","45","1","6.31"
"8984","652","127","101","-35","6.46"
"8985","7231","-1119","916","20","7.89"
"8986","873","21","128","74","6.82"
"8987","2497","-28","42","-98","59.45"
