"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","2373","41","118","55","20.11"
"2972","4302","-283","-","-","-"
"2979","2780","431","-","-","-"
"2989","2027","408","-","-","-"
"3226","49","-15","81","34","0.6"
"3234","1756","40","114","55","15.4"
"3249","692","-207","342","75","2.02"
"3269","278","-22","136","12","2.04"
"3278","295","-78","143","92","2.06"
"3279","721","2","34","-23","21.21"
"3281","1659","-673","3220","291","0.52"
"3282","53","4","256","-85","0.21"
"3283","428","-66","165","6","2.59"
"3287","1079","-10","84","-17","12.85"
"3290","2044","54","141","7","14.5"
"3292","608","51","179","-77","3.4"
"3295","555","23","398","94","1.39"
"3296","1488","68","38","9","39.16"
"3309","4246","236","754","-119","5.63"
"3451","1647","17","5","5","329.4"
"3453","1391","-177","118","-47","11.79"
"3455","554","66","214","-64","2.59"
"3459","1274","296","-","-","-"
"3462","2611","125","365","179","7.15"
"3463","3426","-547","87","27","39.38"
"3466","2032","-302","541","-698","3.76"
"3468","4979","396","184","3","27.06"
"3470","1256","-10","-","-","-"
"3471","309","15","237","-11","1.3"
"3472","5159","-551","-","-","-"
"3476","10108","995","110","-78","91.89"
"3481","271","-61","43","8","6.3"
"3487","792","-10","118","-14","6.71"
"3488","1835","-532","-","-","-"
"3492","8097","-219","110","-61","73.61"
"3493","1409","-42","5","5","281.8"
"8951","1536","-62","471","9","3.26"
"8952","405","-158","186","75","2.18"
"8953","13075","1412","267","68","48.97"
"8954","528","-46","163","55","3.24"
"8955","353","18","53","11","6.66"
"8956","1384","-18","233","54","5.94"
"8957","212","6","469","72","0.45"
"8958","2458","-186","196","25","12.54"
"8960","2214","-1088","214","-51","10.35"
"8961","1478","505","140","60","10.56"
"8963","49042","-20433","132477","102254","0.37"
"8964","879","-20","70","-","12.56"
"8966","2777","-190","439","170","6.33"
"8967","152","-23","329","3","0.46"
"8968","502","-233","269","37","1.87"
"8972","802","-62","292","-170","2.75"
"8975","11357","-18","114","-55","99.62"
"8976","185","30","63","-75","2.94"
"8977","466","-14","406","-19","1.15"
"8979","612","90","44","-","13.91"
"8984","870","-337","97","20","8.97"
"8985","20825","4090","414","-35","50.3"
"8986","552","-62","73","16","7.56"
"8987","1257","-85","775","8","1.62"
