"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","2474","-60","23","-5","107.57"
"2972","3852","92","4","-3","963"
"2979","2813","-138","64","32","43.95"
"2989","2656","831","-","-","-"
"3226","72","46","104","-88","0.69"
"3234","1116","-114","63","-2","17.71"
"3249","1092","-91","13","-","84"
"3269","359","131","100","-23","3.59"
"3278","189","-46","46","27","4.11"
"3279","710","-1","19","14","37.37"
"3281","2579","-324","345","-1893","7.48"
"3282","100","-17","195","-456","0.51"
"3283","294","-147","323","147","0.91"
"3287","1097","93","43","-11","25.51"
"3290","1905","96","125","-4","15.24"
"3292","582","-63","53","-49","10.98"
"3295","436","1","485","-132","0.9"
"3296","745","2","57","14","13.07"
"3309","4639","-105","443","-82","10.47"
"3451","1788","-32","-","-","-"
"3453","1300","32","317","214","4.1"
"3455","869","-95","149","-12","5.83"
"3459","1517","-97","-","-1","-"
"3462","2088","-378","1428","-442","1.46"
"3463","4732","621","-","-1","-"
"3466","780","-793","224","-363","3.48"
"3468","6938","-1561","11889","-9633","0.58"
"3470","1305","21","-","-","-"
"3471","343","-55","141","-26","2.43"
"3472","5123","64","-","-","-"
"3476","10672","397","167","42","63.9"
"3481","428","87","23","-74","18.61"
"3487","2350","-811","3","-23","783.33"
"3488","2656","312","-","-","-"
"3492","8610","-290","962","-1809","8.95"
"3493","1799","-767","-","-","-"
"8951","613","-283","204","81","3"
"8952","294","-70","287","43","1.02"
"8953","9609","-287","231","-86","41.6"
"8954","547","-155","132","45","4.14"
"8955","289","-10","35","19","8.26"
"8956","1272","-61","174","-45","7.31"
"8957","291","1","371","-9","0.78"
"8958","2511","-27","110","51","22.83"
"8960","2697","65","56","-3","48.16"
"8961","940","2","201","129","4.68"
"8963","37886","-8756","4716","970","8.03"
"8964","478","4","51","-2","9.37"
"8966","3442","-268","95","-17","36.23"
"8967","90","-9","274","-73","0.33"
"8968","1289","206","31","-20","41.58"
"8972","666","95","336","42","1.98"
"8975","11307","-48","41","-","275.78"
"8976","57","-6","172","-30","0.33"
"8977","437","-35","306","-16","1.43"
"8979","626","-122","44","-","14.23"
"8984","3933","2979","2109","1988","1.86"
"8985","19594","3600","273","-54","71.77"
"8986","884","21","64","44","13.81"
"8987","1072","-65","433","-","2.48"
