"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","2332","-196","63","11","37.02"
"2972","4585","-57","-","-","-"
"2979","2349","1092","-","-","-"
"2989","1619","-13","-","-","-"
"3226","64","10","47","3","1.36"
"3234","1716","632","59","21","29.08"
"3249","899","-10","267","48","3.37"
"3269","300","-67","124","4","2.42"
"3278","373","113","51","-1","7.31"
"3279","719","3","57","19","12.61"
"3281","2332","508","2929","31","0.8"
"3282","49","3","341","-266","0.14"
"3283","494","13","159","69","3.11"
"3287","1089","-79","101","12","10.78"
"3290","1990","-7","134","-1","14.85"
"3292","557","86","256","84","2.18"
"3295","532","7","304","58","1.75"
"3296","1420","587","29","-13","48.97"
"3309","4010","-436","873","109","4.59"
"3451","1630","-162","-","-","-"
"3453","1568","-248","165","-256","9.5"
"3455","488","43","278","42","1.76"
"3459","978","-32","-","-","-"
"3462","2486","22","186","-37","13.37"
"3463","3973","-1468","60","23","66.22"
"3466","2334","37","1239","-1009","1.88"
"3468","4583","-114","181","96","25.32"
"3470","1266","-118","-","-","-"
"3471","294","-24","248","54","1.19"
"3472","5710","376","-","-","-"
"3476","9113","-387","188","5","48.47"
"3481","332","87","35","-7","9.49"
"3487","802","28","132","22","6.08"
"3488","2367","-108","-","-","-"
"3492","8316","-317","171","125","48.63"
"3493","1451","307","-","-","-"
"8951","1598","-16","462","119","3.46"
"8952","563","-105","111","38","5.07"
"8953","11663","1203","199","89","58.61"
"8954","574","-69","108","35","5.31"
"8955","335","53","42","4","7.98"
"8956","1402","12","179","22","7.83"
"8957","206","-17","397","17","0.52"
"8958","2644","2","171","-3","15.46"
"8960","3302","1057","265","189","12.46"
"8961","973","-12","80","46","12.16"
"8963","69475","9466","30223","27725","2.3"
"8964","899","420","70","5","12.84"
"8966","2967","32","269","-136","11.03"
"8967","175","39","326","25","0.54"
"8968","735","17","232","51","3.17"
"8972","864","-127","462","38","1.87"
"8975","11375","-33","169","-149","67.31"
"8976","155","10","138","45","1.12"
"8977","480","76","425","38","1.13"
"8979","522","41","44","-","11.86"
"8984","1207","218","77","19","15.68"
"8985","16735","5159","449","55","37.27"
"8986","614","24","57","33","10.77"
"8987","1342","-92","767","155","1.75"
