"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2241","20230714","2","6740","4300","830","-","8.12","950","220","830","-","5790","4080","-","-"
"2242","20230714","2","1370","-530","1500","-","0.91","1370","-530","1500","-","-","-","-","-"
"2243","20230714","2","83697","-34666","2549","619","32.84","53691","-14027","2549","619","30006","-20639","-","-"
"2244","20230714","2","103343","-39579","1580","305","65.41","34364","-29443","1580","305","68979","-10136","-","-"
"2245","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2246","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2247","20230714","2","60","50","-","-","-","50","50","-","-","10","-","-","-"
"2248","20230714","2","28","-","-","-","-","23","-","-","-","5","-","-","-"
"2249","20230714","2","1039","-781","-","-","-","684","-831","-","-","355","50","-","-"
"2250","20230714","2","160","20","-","-","-","160","20","-","-","-","-","-","-"
"2251","20230714","2","1310","-","-","-","-","310","-","-","-","1000","-","-","-"
"2252","20230714","2","6","6","-","-","-","5","5","-","-","1","1","-","-"
"2253","20230714","2","13","13","-","-","-","13","13","-","-","-","-","-","-"
"2254","20230714","2","131","131","-","-","-","131","131","-","-","-","-","-","-"
"2510","20230714","2","6990","-510","4760","-2550","1.47","6660","-510","4760","-2550","330","-","-","-"
"2511","20230714","2","40400","720","50","-1000","808","22350","170","50","-1000","18050","550","-","-"
"2512","20230714","2","11120","330","20","-","556","9310","320","20","-","1810","10","-","-"
"2513","20230714","2","25770","860","670","80","38.46","1270","-","670","80","24500","860","-","-"
"2514","20230714","2","5480","700","360","-","15.22","530","-","360","-","4950","700","-","-"
"2515","20230714","2","28260","-780","3250","440","8.7","15310","-1050","3250","440","12950","270","-","-"
"2516","20230714","2","4695050","245220","1129910","-85150","4.16","3081060","160150","1129910","-85150","1613990","85070","-","-"
"2517","20230714","2","200","-","-","-","-","-","-","-","-","200","-","-","-"
"2518","20230714","2","14402","-34705","401","-8917","35.92","14402","-34705","401","-8917","-","-","-","-"
"2519","20230714","2","5870","-80","50","50","117.4","220","-80","50","50","5650","-","-","-"
"2520","20230714","2","44730","5650","5960","5960","7.51","28670","5650","5960","5960","16060","-","-","-"
"2521","20230714","2","175980","15460","18860","-89960","9.33","59120","24010","18860","-89960","116860","-8550","-","-"
"2522","20230714","2","3229","372","2120","-1","1.52","2289","372","2120","-1","940","-","-","-"
"2523","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2524","20230714","2","-","-","120","10","-","-","-","120","10","-","-","-","-"
"2525","20230714","2","250","150","1","-","250","-","-","1","-","250","150","-","-"
"2526","20230714","2","10","-","-","-","-","10","-","-","-","-","-","-","-"
"2527","20230714","2","-","-100","-","-","-","-","-100","-","-","-","-","-","-"
"2528","20230714","2","1310","-","-","-","-","200","-","-","-","1110","-","-","-"
"2529","20230714","2","6522","-716","4","2","1630.5","3759","-679","4","2","2763","-37","-","-"
"2530","20230714","2","26","-1","-","-","-","6","-1","-","-","20","-","-","-"
"2552","20230714","2","304","-699","-","-","-","304","-694","-","-","-","-5","-","-"
"2553","20230714","2","150","-","-","-","-","-","-","-","-","150","-","-","-"
"2554","20230714","2","8830","-100","-","-","-","100","-100","-","-","8730","-","-","-"
"2555","20230714","2","1670","30","320","-50","5.22","530","-","320","-50","1140","30","-","-"
"2556","20230714","2","23560","40","30","-80","785.33","470","30","30","-80","23090","10","-","-"
"2557","20230714","2","4000","-","-","-","-","-","-","-","-","4000","-","-","-"
"2558","20230714","2","48879","1519","8670","-986","5.64","11855","1908","8670","-986","37024","-389","-","-"
"2559","20230714","2","30735","1351","1739","529","17.67","8485","1043","1739","529","22250","308","-","-"
"2560","20230714","2","-","-31","-","-","-","-","-31","-","-","-","-","-","-"
"2561","20230714","2","19014","-2672","15113","-2481","1.26","17649","-2672","15113","-2481","1365","-","-","-"
"2562","20230714","2","26890","290","10330","220","2.6","10120","750","10330","220","16770","-460","-","-"
"2563","20230714","2","873900","94980","353880","61740","2.47","437460","65740","353880","61740","436440","29240","-","-"
"2564","20230714","2","143234","-904","208","206","688.63","1134","-599","208","206","142100","-305","-","-"
"2565","20230714","2","1677","-652","49","-5","34.22","571","11","49","-5","1106","-663","-","-"
"2566","20230714","2","2420","-","-","-","-","-","-","-","-","2420","-","-","-"
"2567","20230714","2","940","430","290","-1490","3.24","730","430","290","-1490","210","-","-","-"
"2568","20230714","2","76900","12330","15710","-3590","4.89","15620","-1440","15710","-3590","61280","13770","-","-"
"2569","20230714","2","89640","-11500","-","-","-","20170","-3350","-","-","69470","-8150","-","-"
"2620","20230714","2","27950","2860","-","-","-","18910","5610","-","-","9040","-2750","-","-"
"2621","20230714","2","2316219","2744","8883","7071","260.75","758167","-3642","8883","7071","1558052","6386","-","-"
"2622","20230714","2","5649","-487","-","-","-","1545","18","-","-","4104","-505","-","-"
"2623","20230714","2","2","1","-","-","-","2","1","-","-","-","-","-","-"
"2624","20230714","2","3519","197","2026","-99","1.74","1665","148","2026","-99","1854","49","-","-"
"2625","20230714","2","3123","-182","5","-","624.6","3073","-182","5","-","50","-","-","-"
"2626","20230714","2","1737","-16","1","1","1737","33","-16","1","1","1704","-","-","-"
"2627","20230714","2","155","-103","-","-","-","2","-3","-","-","153","-100","-","-"
"2628","20230714","2","3049","502","-","-","-","1354","312","-","-","1695","190","-","-"
"2629","20230714","2","912","-5","1","-","912","12","-5","1","-","900","-","-","-"
"2630","20230714","2","10921","606","2395","1301","4.56","7827","522","2395","1301","3094","84","-","-"
"2631","20230714","2","36002","2985","13707","-410","2.63","14473","3181","13707","-410","21529","-196","-","-"
"2632","20230714","2","34710","12394","7286","-696","4.76","20628","8806","7286","-696","14082","3588","-","-"
"2633","20230714","2","77850","-23320","11010","-1000","7.07","11060","-24030","11010","-1000","66790","710","-","-"
"2634","20230714","2","167980","7490","65410","-420","2.57","45500","12400","65410","-420","122480","-4910","-","-"
"2635","20230714","2","1130","-130","110","-","10.27","300","-130","110","-","830","-","-","-"
"2636","20230714","2","36","-192","-","-","-","35","-192","-","-","1","-","-","-"
"2637","20230714","2","925","5","-","-","-","214","-","-","-","711","5","-","-"
"2638","20230714","2","2569","50","11","11","233.55","995","-57","11","11","1574","107","-","-"
"2639","20230714","2","1103","59","1","-9","1103","93","53","1","-9","1010","6","-","-"
"2640","20230714","2","2301","254","157","3","14.66","1775","-7","157","3","526","261","-","-"
"2641","20230714","2","1433","-87","-","-","-","1427","-82","-","-","6","-5","-","-"
"2642","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2643","20230714","2","157","-","-","-","-","57","-","-","-","100","-","-","-"
"2644","20230714","2","102730","-4049","7826","-2860","13.13","63131","-4296","7826","-2860","39599","247","-","-"
"2645","20230714","2","20114","-10","33","1","609.52","13","-10","33","1","20101","-","-","-"
"2646","20230714","2","60","28","-","-","-","16","8","-","-","44","20","-","-"
"2647","20230714","2","50","10","-","-","-","-","-","-","-","50","10","-","-"
"2648","20230714","2","60","-10","-","-","-","20","-10","-","-","40","-","-","-"
"2649","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2836","20230714","2","850","-50","500","-","1.7","849","-50","500","-","1","-","-","-"
"2837","20230714","2","5","-1","-","-","-","5","-1","-","-","-","-","-","-"
"2838","20230714","2","506","300","-","-","-","506","300","-","-","-","-","-","-"
"2839","20230714","2","371","49","-","-","-","257","49","-","-","114","-","-","-"
"2840","20230714","2","679","-1950","270","12","2.51","398","-29","270","12","281","-1921","-","-"
"2841","20230714","2","13525","2791","2340","-326","5.78","6730","-2101","2340","-326","6795","4892","-","-"
"2842","20230714","2","40997","-8931","2812","545","14.58","21002","-7509","2812","545","19995","-1422","-","-"
"2843","20230714","2","1160","-","-","-","-","1160","-","-","-","-","-","-","-"
"2844","20230714","2","10","-","-","-","-","10","-","-","-","-","-","-","-"
"2845","20230714","2","131140","16420","28780","-41340","4.56","73950","24520","28780","-41340","57190","-8100","-","-"
"2846","20230714","2","7590","-1140","5760","-530","1.32","5230","-1160","5760","-530","2360","20","-","-"
"2847","20230714","2","109","4","-","-","-","9","4","-","-","100","-","-","-"
"2848","20230714","2","3","2","1","1","3","3","2","1","1","-","-","-","-"
"2849","20230714","2","881","-4","1","-","881","806","-4","1","-","75","-","-","-"
"2850","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2851","20230714","2","330","10","-","-","-","230","10","-","-","100","-","-","-"
"2852","20230714","2","-","-10","-","-","-","-","-10","-","-","-","-","-","-"
"2853","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2854","20230714","2","4154","79","41","20","101.32","3354","79","41","20","800","-","-","-"
"2855","20230714","2","100","-","10","-4","10","20","-","10","-4","80","-","-","-"
"2856","20230714","2","99210","1660","-","-","-","1810","1300","-","-","97400","360","-","-"
"2857","20230714","2","3420","-1190","-","-","-","3420","-1190","-","-","-","-","-","-"
"2858","20230714","2","248","4","3","3","82.67","148","4","3","3","100","-","-","-"
"2859","20230714","2","1240","900","480","-430","2.58","220","-40","480","-430","1020","940","-","-"
"2860","20230714","2","2160","1340","720","-","3","900","90","720","-","1260","1250","-","-"
"2861","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2862","20230714","2","300","-","-","-","-","300","-","-","-","-","-","-","-"
"2863","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2864","20230714","2","500","-1","-","-","-","-","-1","-","-","500","-","-","-"
"2865","20230714","2","84594","127","31","-432","2728.84","7288","-443","31","-432","77306","570","-","-"
"2866","20230714","2","126377","-8227","1291","877","97.89","10757","-2730","1291","877","115620","-5497","-","-"
"2867","20230714","2","4016","-19","34","2","118.12","3068","-20","34","2","948","1","-","-"
"2868","20230714","2","7522","-310","24","24","313.42","1271","-443","24","24","6251","133","-","-"
"2869","20230714","2","16285","4013","-","-","-","8110","1290","-","-","8175","2723","-","-"
"2870","20230714","2","11331","-2631","-","-","-","8826","-2192","-","-","2505","-439","-","-"
