"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1305","20240209","2","30830","-230","7920","-4600","3.89","12080","170","6420","-4600","18750","-400","1500","-"
"1306","20240209","2","522800","103580","366900","4650","1.42","342370","107730","289600","-5570","180430","-4150","77300","10220"
"1308","20240209","2","77633","-1016","33606","-7165","2.31","46100","-54","33606","-7165","31533","-962","-","-"
"1309","20240209","2","2029","90","-","-","-","442","-251","-","-","1587","341","-","-"
"1311","20240209","2","39130","6560","2920","1600","13.4","12080","-1280","2920","1600","27050","7840","-","-"
"1319","20240209","2","78000","-1000","-","-","-","-","-1000","-","-","78000","-","-","-"
"1320","20240209","2","21146","-1605","29466","3049","0.72","19331","-773","28064","3049","1815","-832","1402","-"
"1321","20240209","2","154291","265","175892","29123","0.88","126707","9107","173647","29173","27584","-8842","2245","-50"
"1322","20240209","2","4460","-160","-","-","-","1730","10","-","-","2730","-170","-","-"
"1324","20240209","2","200","-","-","-","-","-","-","-","-","200","-","-","-"
"1325","20240209","2","199300","-2400","11900","400","16.75","38700","-21600","11900","400","160600","19200","-","-"
"1326","20240209","2","727","-8","11","-23","66.09","535","32","11","-23","192","-40","-","-"
"1328","20240209","2","22950","-3910","4550","-1090","5.04","13150","-2820","4550","-1090","9800","-1090","-","-"
"1329","20240209","2","6756","-3054","4512","957","1.5","1911","-2996","4512","957","4845","-58","-","-"
"1330","20240209","2","11305","-8572","34886","6301","0.32","8798","-8868","34886","6301","2507","296","-","-"
"133A","20240209","2","1","-99","-","-","-","1","-99","-","-","-","-","-","-"
"1343","20240209","2","306460","83450","121050","86520","2.53","108660","61550","120950","86520","197800","21900","100","-"
"1345","20240209","2","89700","11700","2400","1900","37.38","31700","1200","2300","1900","58000","10500","100","-"
"1346","20240209","2","2532","-2231","4067","-90","0.62","1919","-2140","4067","-90","613","-91","-","-"
"1348","20240209","2","7260","-1580","8650","-360","0.84","5700","-1140","8650","-360","1560","-440","-","-"
"1349","20240209","2","-","-6","-","-","-","-","-","-","-","-","-6","-","-"
"1356","20240209","2","1782590","-3430","234450","2380","7.6","1298630","4500","234450","2380","483960","-7930","-","-"
"1357","20240209","2","135634570","16900242","5760740","778117","23.54","82977632","6160870","5760740","778117","52656938","10739372","-","-"
"1358","20240209","2","10343","-189","14656","926","0.71","7823","254","14490","760","2520","-443","166","166"
"1360","20240209","2","19881130","782980","1169950","-10620","16.99","12680190","777480","1169950","-10620","7200940","5500","-","-"
"1364","20240209","2","325","1","11","-1","29.55","73","-9","11","-1","252","10","-","-"
"1365","20240209","2","8360","-2573","11079","619","0.75","5775","-824","11079","619","2585","-1749","-","-"
"1366","20240209","2","1093672","130184","7142","-13716","153.13","592702","107422","7142","-13716","500970","22762","-","-"
"1367","20240209","2","3614","-285","2024","-222","1.79","2242","7","2024","-222","1372","-292","-","-"
