id,sec-code,filer-name,description
S100C315,76240,株式会社ＮａＩＴＯ,四半期報告書－第67期第3四半期(2017/09/01－2017/11/30)
S100C32V,,株式会社パルコ,四半期報告書－第79期第3四半期(2017/09/01－2017/11/30)
S100C32T,77520,株式会社リコー,訂正有価証券報告書－第117期(2016/04/01－2017/03/31)
S100C31U,31410,ウエルシアホールディングス株式会社,四半期報告書－第10期第3四半期(2017/09/01－2017/11/30)
S100C39U,63120,フロイント産業株式会社,四半期報告書－第54期第3四半期(2017/09/01－2017/11/30)
S100C3D9,32240,株式会社ゼネラル・オイスター,訂正有価証券報告書－第17期(2016/04/01－2017/03/31)
S100C310,82540,株式会社さいか屋,四半期報告書－第86期第3四半期(2017/09/01－2017/11/30)
S100C3DT,35500,株式会社スタジオアタオ,四半期報告書－第14期第3四半期(2017/09/01－2017/11/30)
S100C2PN,,株式会社東武ストア,四半期報告書－第72期第3四半期(2017/09/01－2017/11/30)
S100C3FQ,33210,ミタチ産業株式会社,四半期報告書－第42期第2四半期(2017/09/01－2017/11/30)
S100C3CH,26700,株式会社エービーシー・マート,四半期報告書－第33期第3四半期(2017/09/01－2017/11/30)
S100C2ZH,79750,株式会社リヒトラブ,四半期報告書－第70期第3四半期(2017/09/01－2017/11/30)
S100C3CM,99820,タキヒヨー株式会社,四半期報告書－第107期第3四半期(2017/09/01－2017/11/30)
S100C3EP,,イオン東北株式会社,四半期報告書－第46期第3四半期(2017/09/01－2017/11/30)
S100C3BS,,マックスバリュ北海道株式会社,四半期報告書－第57期第3四半期(2017/09/01－2017/11/30)
S100C2QF,64960,株式会社中北製作所,四半期報告書－第92期第2四半期(2017/09/01－2017/11/30)
S100C3CI,99740,株式会社ベルク,四半期報告書－第59期第3四半期(2017/09/01－2017/11/30)
S100C2VD,81980,マックスバリュ東海株式会社,四半期報告書－第56期第3四半期(2017/09/01－2017/11/30)
S100BZ03,26860,株式会社ジーフット,四半期報告書－第47期第3四半期(2017/09/01－2017/11/30)
S100C2QC,99460,ミニストップ株式会社,四半期報告書－第39期第3四半期(2017/09/01－2017/11/30)
S100C2Z3,74530,株式会社　良品計画,四半期報告書－第39期第3四半期(2017/09/01－2017/11/30)
S100C31Z,96510,日本プロセス株式会社,四半期報告書－第51期第2四半期(2017/09/01－2017/11/30)
S100C2UY,99930,株式会社ヤマザワ,四半期報告書－第56期第3四半期(2017/09/01－2017/11/30)
S100C2U1,76490,スギホールディングス株式会社,四半期報告書－第36期第3四半期(2017/09/01－2017/11/30)
S100C3IA,74500,株式会社サンデー,四半期報告書－第44期第3四半期(2017/09/01－2017/11/30)
S100C33Z,27470,北雄ラッキー株式会社,四半期報告書－第48期第3四半期(2017/09/01－2017/11/30)
S100C3IT,98760,株式会社コックス,四半期報告書－第45期第3四半期(2017/09/01－2017/11/30)
S100C3LO,78940,丸東産業株式会社,四半期報告書－第71期第3四半期(2017/09/01－2017/11/30)
S100C34M,77180,スター精密株式会社,四半期報告書－第93期第3四半期(2017/09/01－2017/11/30)
S100C1Q9,82330,株式会社髙島屋,四半期報告書－第152期第3四半期(2017/09/01－2017/11/30)
S100C3M6,14010,株式会社エムビーエス,四半期報告書－第21期第2四半期(2017/09/01－2017/11/30)
S100C3N8,,株式会社ＵＣＳ,四半期報告書－第27期第3四半期(2017/09/01－2017/11/30)
