"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"2971","20240219","116000","116000","114300","114900","114876.7948","1379","158415100","116000","116000","114900","115000","114800","115000","114300","114900"
"2972","20240219","89200","89400","88100","88700","88558.4826","1898","168084000","89200","89400","88700","88700","88600","88700","88100","88700"
"2979","20240219","113600","113700","111700","112300","112346.623","3361","377597000","113600","113700","112200","112400","112400","112400","111700","112300"
"2989","20240219","127100","127800","124700","125300","126014.6233","2031","255935700","127100","127800","126300","126400","126200","126400","124700","125300"
"3226","20240219","583000","585000","576000","585000","580661.4626","1217","706665000","583000","584000","576000","578000","578000","585000","576000","585000"
"3234","20240219","131000","131000","128700","129900","129551.7791","4581","593476700","131000","131000","129100","129300","129300","129900","128700","129900"
"3249","20240219","126900","127400","125400","125500","126250.3667","11045","1394435300","126900","127400","126300","126400","126400","126400","125400","125500"
"3269","20240219","306500","307000","301000","305500","303762.1499","4856","1475069000","306500","307000","301000","302000","302000","305500","301500","305500"
"3279","20240219","390000","390500","384000","386000","386228.1175","1668","644228500","390000","390500","385000","385500","385500","387000","384000","386000"
"3281","20240219","127200","127700","123900","124000","125179.9812","21320","2668837200","127200","127700","125900","125900","125900","126000","123900","124000"
"3282","20240219","293900","294100","290500","293500","292176.0041","971","283702900","293900","294100","290600","291600","290800","293500","290500","293500"
"3283","20240219","259000","260900","252900","254300","255892.7003","5740","1468824100","259000","260900","257100","257600","257100","257500","252900","254300"
"3287","20240219","535000","541000","534000","538000","537540.4339","1014","545066000","535000","541000","535000","538000","538000","539000","534000","538000"
"3290","20240219","265500","266500","260700","263000","263139.1304","1656","435758400","265500","266500","263500","264900","264900","265000","260700","263000"
"3292","20240219","132800","132900","131000","131700","131740.6339","7762","1022570800","132800","132900","131600","131700","131800","131800","131000","131700"
"3295","20240219","150500","150500","148700","149600","149375.9647","3058","456791700","150500","150500","149000","149300","149700","149700","148700","149600"
"3296","20240219","325000","325500","319500","322000","322054.1667","1080","347818500","325000","325500","322000","322500","323500","323500","319500","322000"
"3309","20240219","74300","74500","73200","73800","73571.762","11782","866822500","74300","74500","73300","73300","73300","73800","73200","73800"
"3451","20240219","137100","137500","136300","136800","136853.7285","1046","143149000","137100","137500","136800","136800","136800","136800","136300","136800"
"3455","20240219","129900","130000","128100","129300","128746.4861","1366","175867700","129900","130000","128300","128500","128500","129300","128100","129300"
"3459","20240219","103400","103500","102400","102500","102790.1436","1532","157474500","103400","103500","102700","102800","102800","102900","102400","102500"
"3462","20240219","150600","151100","148700","149800","149796.0334","10765","1612554300","150600","151100","149900","150100","150000","150200","148700","149800"
"3463","20240219","111300","112000","109700","110800","110534.8042","2017","222948700","111300","112000","110400","110800","111400","111400","109700","110800"
"3466","20240219","145500","145500","142000","142600","143074.772","5482","784335900","145500","145500","143200","143300","143300","143400","142000","142600"
"3468","20240219","56900","57000","55900","56200","56336.0614","8211","462575400","56900","57000","56300","56300","56300","56400","55900","56200"
"3470","20240219","121700","121700","120100","120900","120836.8621","1313","158658800","121700","121700","120800","120900","120800","121000","120100","120900"
"3471","20240219","440000","440000","424000","425500","427779.2815","2032","869247500","440000","440000","427000","427500","427000","427500","424000","425500"
