"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"25935","27500","-7500","3200","1900","8.59"
"9282","2008","28","-","-","-"
"9284","1966","-119","-","-","-"
"9285","2358","-249","-","-","-"
"9286","8762","-361","21","-15","417.24"
"9287","14658","-424","-","-","-"
